bit_index,row_id,keep_mask,ambiguous_outputs
3560,55,40,D0.0|D1.0
3561,55,41,D0.5|D1.5
3564,55,44,D0.0|D1.0
3565,55,45,D0.5|D1.5
3584,56,0,CAP.0|D0.0|D1.0|PAR.0|PASS.0|TRI.0
3585,56,1,D0.5|D1.5|PASS.5
3588,56,4,D0.3|D1.3|TRI.3
3589,56,5,D0.3|D1.3
3592,56,8,D0.2|D1.2|TRI.2
3593,56,9,D0.2|D1.2
3596,56,12,D0.2|D1.2
3597,56,13,D0.2|D1.2
3616,56,32,D0.0|D1.0|TRI.0
3617,56,33,D0.5|D1.5
3620,56,36,D0.3|D1.3
3621,56,37,D0.3|D1.3
3624,56,40,D0.0|D1.0|TRI.0
3625,56,41,D0.5|D1.5
3628,56,44,D0.0|D1.0
3629,56,45,D0.2|D1.2
3648,57,0,CAP.0|D0.0|D1.0|PAR.0|PASS.0|TRI.0
3649,57,1,D1.5|PAR.5
3650,57,2,PAR.4|PASS.4|TRI.4
3652,57,4,PAR.3|PASS.3|TRI.3
3654,57,6,PAR.3|PASS.3|TRI.3
3656,57,8,D0.2|PAR.2
3664,57,16,D0.1|D1.1|PAR.1
3665,57,17,D1.5|PAR.5
3680,57,32,D0.0|D1.0|PAR.0
3688,57,40,D0.0|PAR.0
3712,58,0,CAP.0|D0.0|D1.0|PAR.0|PASS.0|TRI.0
3713,58,1,D1.5|PAR.5
3714,58,2,PAR.4|PASS.4|TRI.4
3716,58,4,PAR.3|PASS.3|TRI.3
3718,58,6,PAR.3|PASS.3|TRI.3
3720,58,8,D0.2|PAR.2
3728,58,16,D0.1|D1.1|PAR.1
3729,58,17,D1.5|PAR.5
3744,58,32,D0.0|D1.0|PAR.0
3752,58,40,D0.0|PAR.0
3776,59,0,CAP.0|D0.0|D1.0|PAR.0|PASS.0|TRI.0
3777,59,1,PAR.5|PASS.5|TRI.5
3778,59,2,D0.4|PAR.4
3780,59,4,D0.3|D1.3|PAR.3
3784,59,8,D0.2|D1.2|PAR.2
3786,59,10,D0.2|PAR.2
3792,59,16,D1.1|PAR.1
3796,59,20,D1.1|PAR.1
3808,59,32,PAR.0|PASS.0|TRI.0
3809,59,33,PAR.5|PASS.5|TRI.5
3840,60,0,CAP.0|D0.0|D1.0|PAR.0|PASS.0|TRI.0
3841,60,1,PAR.5|PASS.5|TRI.5
3842,60,2,PAR.4|TRI.4
3843,60,3,PAR.4|TRI.4
3844,60,4,CAP.3|PAR.3|TRI.3
3845,60,5,PAR.3|TRI.3
3846,60,6,PAR.3|TRI.3
3847,60,7,PAR.3|TRI.3
3848,60,8,CAP.2|PAR.2|TRI.2
3849,60,9,PAR.5|TRI.5
3850,60,10,PAR.2|TRI.2
3851,60,11,PAR.2|TRI.2
3852,60,12,CAP.2|PAR.2|TRI.2
3853,60,13,PAR.2|TRI.2
3854,60,14,PAR.2|TRI.2
3855,60,15,PAR.2|TRI.2
3856,60,16,CAP.1|PAR.1
3860,60,20,CAP.1|PAR.1
3864,60,24,CAP.1|PAR.1
3868,60,28,CAP.1|PAR.1
3872,60,32,CAP.0|D0.0|D1.0|PAR.0
3876,60,36,CAP.3|PAR.3
3880,60,40,CAP.0|PAR.0
3884,60,44,CAP.0|PAR.0
3888,60,48,CAP.0|PAR.0
3892,60,52,CAP.0|PAR.0
3896,60,56,CAP.0|PAR.0
3900,60,60,CAP.0|PAR.0
3904,61,0,CAP.0|D0.0|D1.0|PAR.0|PASS.0|TRI.0
3905,61,1,PAR.5|PASS.5|TRI.5
3906,61,2,PAR.4|PASS.4|TRI.4
3907,61,3,PAR.4|PASS.4|TRI.4
3908,61,4,CAP.3|PAR.3|TRI.3
3909,61,5,PAR.3|TRI.3
3910,61,6,PAR.3|TRI.3
3911,61,7,PAR.3|TRI.3
3912,61,8,CAP.2|PAR.2|TRI.2
3913,61,9,PAR.5|TRI.5
3914,61,10,PAR.2|TRI.2
3915,61,11,PAR.2|TRI.2
3916,61,12,CAP.2|PAR.2|TRI.2
3917,61,13,PAR.2|TRI.2
3918,61,14,PAR.2|TRI.2
3919,61,15,PAR.2|TRI.2
3920,61,16,CAP.1|PAR.1
3924,61,20,CAP.1|PAR.1
3928,61,24,CAP.1|PAR.1
3932,61,28,CAP.1|PAR.1
3936,61,32,CAP.0|D0.0|D1.0|PAR.0
3940,61,36,CAP.3|PAR.3
3944,61,40,CAP.0|PAR.0
3948,61,44,CAP.0|PAR.0
3952,61,48,CAP.0|PAR.0
3956,61,52,CAP.0|PAR.0
3960,61,56,CAP.0|PAR.0
3964,61,60,CAP.0|PAR.0
3968,62,0,CAP.0|D0.0|D1.0|PAR.0|PASS.0|TRI.0
3969,62,1,PAR.5|PASS.5|TRI.5
3970,62,2,D0.4|PAR.4
3972,62,4,D0.3|D1.3|PAR.3
3976,62,8,D0.2|D1.2|PAR.2
3978,62,10,D0.2|PAR.2
3984,62,16,D1.1|PAR.1
3988,62,20,D1.1|PAR.1
4000,62,32,PAR.0|PASS.0|TRI.0
4001,62,33,PAR.5|PASS.5|TRI.5
4032,63,0,CAP.0|D0.0|D1.0|PAR.0|PASS.0|TRI.0
4033,63,1,PAR.5|PASS.5|TRI.5
4034,63,2,D0.4|PAR.4
4036,63,4,D0.3|D1.3|PAR.3
4040,63,8,D0.2|D1.2|PAR.2
4042,63,10,D0.2|PAR.2
4048,63,16,CAP.1|PAR.1
4064,63,32,PAR.0|PASS.0|TRI.0
4065,63,33,PAR.5|PASS.5|TRI.5
4096,64,0,CAP.0|D0.0|D1.0|PAR.0|PASS.0|TRI.0
4097,64,1,PAR.5|PASS.5|TRI.5
4098,64,2,D0.4|D1.4|PAR.4
4100,64,4,D0.3|D1.3|PAR.3
4104,64,8,D0.2|D1.2|PAR.2
4106,64,10,D1.2|PAR.2
4112,64,16,CAP.1|PAR.1
4128,64,32,CAP.0|D0.0|D1.0|PAR.0
4144,64,48,CAP.0|PAR.0
4160,65,0,CAP.0|D0.0|D1.0|PAR.0|PASS.0|TRI.0
4161,65,1,PAR.5|PASS.5|TRI.5
4162,65,2,PAR.4|TRI.4
4163,65,3,PAR.4|TRI.4
4164,65,4,CAP.3|PAR.3|TRI.3
4165,65,5,PAR.3|TRI.3
4166,65,6,PAR.3|TRI.3
4167,65,7,PAR.3|TRI.3
4168,65,8,CAP.2|PAR.2|TRI.2
4169,65,9,PAR.5|TRI.5
4170,65,10,PAR.2|TRI.2
4171,65,11,PAR.2|TRI.2
4172,65,12,CAP.2|PAR.2|TRI.2
4173,65,13,PAR.2|TRI.2
4174,65,14,PAR.2|TRI.2
4175,65,15,PAR.2|TRI.2
4176,65,16,CAP.1|PAR.1
4180,65,20,CAP.1|PAR.1
