bit_index,row_id,keep_mask,output
226,3,34,CAP.4
227,3,35,CAP.4
229,3,37,CAP.3
230,3,38,CAP.3
231,3,39,CAP.3
232,3,40,CAP.0
233,3,41,CAP.5
234,3,42,CAP.4
235,3,43,CAP.4
236,3,44,CAP.0
237,3,45,CAP.2
238,3,46,CAP.2
239,3,47,CAP.2
241,3,49,CAP.5
242,3,50,CAP.4
243,3,51,CAP.4
244,3,52,CAP.0
245,3,53,CAP.3
246,3,54,CAP.3
247,3,55,CAP.3
248,3,56,CAP.0
249,3,57,CAP.5
250,3,58,CAP.4
251,3,59,CAP.4
252,3,60,CAP.0
253,3,61,CAP.5
254,3,62,CAP.0
255,3,63,CAP.0
261,4,5,CAP.3
263,4,7,CAP.3
265,4,9,CAP.5
266,4,10,CAP.2
267,4,11,CAP.2
269,4,13,CAP.2
270,4,14,CAP.2
271,4,15,CAP.2
273,4,17,CAP.5
274,4,18,CAP.4
275,4,19,CAP.4
276,4,20,CAP.1
277,4,21,CAP.3
278,4,22,CAP.1
279,4,23,CAP.3
280,4,24,CAP.1
281,4,25,CAP.5
282,4,26,CAP.1
283,4,27,CAP.4
284,4,28,CAP.1
285,4,29,CAP.5
286,4,30,CAP.1
287,4,31,CAP.1
289,4,33,CAP.5
290,4,34,CAP.4
291,4,35,CAP.4
292,4,36,CAP.0
293,4,37,CAP.3
294,4,38,CAP.3
295,4,39,CAP.3
296,4,40,CAP.0
297,4,41,CAP.5
298,4,42,CAP.4
299,4,43,CAP.4
300,4,44,CAP.0
301,4,45,CAP.5
302,4,46,CAP.2
303,4,47,CAP.2
305,4,49,CAP.5
306,4,50,CAP.4
307,4,51,CAP.4
308,4,52,CAP.0
309,4,53,CAP.3
310,4,54,CAP.3
311,4,55,CAP.3
312,4,56,CAP.0
313,4,57,CAP.5
314,4,58,CAP.4
315,4,59,CAP.4
316,4,60,CAP.0
317,4,61,CAP.5
318,4,62,CAP.0
319,4,63,CAP.2
325,5,5,CAP.3
327,5,7,CAP.3
329,5,9,CAP.2
330,5,10,CAP.2
331,5,11,CAP.2
333,5,13,CAP.2
334,5,14,CAP.2
335,5,15,CAP.2
340,5,20,CAP.1
341,5,21,CAP.5
342,5,22,CAP.1
343,5,23,CAP.1
344,5,24,CAP.1
345,5,25,CAP.5
346,5,26,CAP.1
347,5,27,CAP.1
348,5,28,CAP.1
349,5,29,CAP.5
350,5,30,CAP.1
351,5,31,CAP.1
356,5,36,CAP.3
357,5,37,CAP.3
358,5,38,CAP.3
359,5,39,CAP.3
360,5,40,CAP.0
361,5,41,CAP.5
362,5,42,CAP.2
363,5,43,CAP.2
364,5,44,CAP.0
365,5,45,CAP.2
366,5,46,CAP.2
367,5,47,CAP.2
372,5,52,CAP.0
373,5,53,CAP.5
374,5,54,CAP.0
375,5,55,CAP.3
376,5,56,CAP.0
