token_index,batch,time_a,time_b,pair,mixed_with_wall,events
970,3340,53508570307963487149803611488703593/14830172973670243302945332885225,50841093055847316782577454777639847/29660345947340486605890665770450,P0/P2,false,pair:P0:P2:E
971,3344,39704262272493979567784697692130907/11026376931579410933357437240795,7605303561918595291387019531158929/4410550772631764373342974896318,P0/P1,false,pair:P0:P1:NE
972,3345,52833056602896908047348627257915451/14589555117432662037442297651131,16645511085066045084403320064871079/9726370078288441358294865100754,P1/P2,false,pair:P1:P2:N
973,3347,154360476925237096002942600215268111/42735298903270799352573893686415,716503918060661106905342067545573/416929745397763896122672133526,P1/P2,false,pair:P1:P2:N
974,3349,51598123628069428944724934764186903/14266349017588724935628021557911,48988783740874165893579781610443481/28532698035177449871256043115822,P0/P1,false,pair:P0:P1:N
975,3352,26039886387206089881058233988774471/7198038996381502879690037055431,24730849653574984265835327456428201/14396077992763005759380074110862,P0/P1,false,pair:P0:P1:N
976,3353,154522736202066309366334178225556239/42735298903270799352573893686415,146964432840850133597290912851986529/85470597806541598705147787372830,P1/P2,false,pair:P1:P2:N
977,3358,154725560298102826070573650738416399/42735298903270799352573893686415,147126692117679346960682490862274657/85470597806541598705147787372830,P1/P2,false,pair:P1:P2:N
978,3360,17665105293242040470246735089401193/4863185039144220679147432550377,50017662893612741934905749199757301/29179110234865324074884595302262,P1/P2,false,pair:P1:P2:N
979,3362,154928384394139342774813123251276559/42735298903270799352573893686415,29457790278901712064814813774512557/17094119561308319741029557474566,P1/P2,false,pair:P1:P2:N
980,3366,4674791064782431036133493576248175/1289145330552137755399523976431,4455096570909720078532901159009793/2578290661104275510799047952862,P1/P2,false,pair:P1:P2:NW
981,3369,829236737130672384051922008253567/227927563035428817177128969727,25430453331468054151160970615470107/14739315742957730177454340042346,P1/P2,false,pair:P1:P2:NW
982,3371,11915061389656142948049719114217155/3276726697957567714413292802627,11322950442053806030971129353876973/6553453395915135428826585605254,P1/P2,false,pair:P1:P2:NW
983,3374,760749088050633736066160255092653/209018987796816831254329394221,721887005607958555690377120520867/418037975593633662508658788442,P1/P2,false,pair:P1:P2:NW
984,3375,98841520394229290348677017431147801/27185203923158061862778871685017,94071273024563605763919191108699639/54370407846316123725557743370034,P0/P1,false,pair:P0:P1:N
985,3376,50153578758988731240442761105218009/13807988704161784662501790454873,47870504665654258199735055395364151/27615977408323569325003580909746,P1/P2,false,pair:P1:P2:NW
986,3378,249763216132818315207362928820961767/68697312451175031683067744036711,237904712979884680279936930822415113/137394624902350063366135488073422,P0/P1,false,pair:P0:P1:N
