bit_index,row_id,keep_mask,output
1790,27,62,H.0
1791,27,63,H.5
1793,28,1,H.5
1794,28,2,H.4
1795,28,3,H.4
1797,28,5,H.3
1798,28,6,H.3
1799,28,7,H.3
1801,28,9,H.5
1802,28,10,H.2
1803,28,11,H.2
1804,28,12,H.2
1805,28,13,H.2
1806,28,14,H.2
1807,28,15,H.2
1808,28,16,H.1
1809,28,17,H.5
1810,28,18,H.4
1811,28,19,H.4
1812,28,20,H.1
1813,28,21,H.3
1814,28,22,H.1
1815,28,23,H.3
1816,28,24,H.1
1817,28,25,H.5
1818,28,26,H.1
1819,28,27,H.1
1820,28,28,H.1
1821,28,29,H.1
1822,28,30,H.1
1823,28,31,H.1
1824,28,32,H.0
1825,28,33,H.5
1826,28,34,H.4
1827,28,35,H.4
1828,28,36,H.0
1829,28,37,H.3
1830,28,38,H.3
1831,28,39,H.3
1832,28,40,H.0
1833,28,41,H.5
1834,28,42,H.0
1835,28,43,H.2
1836,28,44,H.0
1837,28,45,H.5
1838,28,46,H.0
1839,28,47,H.2
1840,28,48,H.0
1841,28,49,H.5
1842,28,50,H.4
1843,28,51,H.4
1844,28,52,H.0
1845,28,53,H.3
1846,28,54,H.0
1847,28,55,H.3
1848,28,56,H.0
1849,28,57,H.5
1850,28,58,H.0
1851,28,59,H.4
1852,28,60,H.0
1853,28,61,H.5
1854,28,62,H.0
1855,28,63,H.5
1857,29,1,H.5
1858,29,2,H.4
1859,29,3,H.4
1861,29,5,H.3
1862,29,6,H.3
1863,29,7,H.3
1865,29,9,H.5
1866,29,10,H.2
1867,29,11,H.2
1868,29,12,H.2
1869,29,13,H.2
1870,29,14,H.2
1871,29,15,H.2
1872,29,16,H.1
1873,29,17,H.5
1874,29,18,H.1
1875,29,19,H.4
1876,29,20,H.1
1877,29,21,H.3
1878,29,22,H.1
1879,29,23,H.3
1880,29,24,H.1
1881,29,25,H.5
1882,29,26,H.1
1883,29,27,H.1
1884,29,28,H.1
1885,29,29,H.1
1886,29,30,H.1
1887,29,31,H.1
1888,29,32,H.0
1889,29,33,H.5
1890,29,34,H.4
1891,29,35,H.4
1892,29,36,H.3
1893,29,37,H.3
1894,29,38,H.3
1895,29,39,H.3
1896,29,40,H.0
1897,29,41,H.5
1898,29,42,H.2
1899,29,43,H.2
1900,29,44,H.0
1901,29,45,H.2
1902,29,46,H.2
1903,29,47,H.2
1904,29,48,H.0
1905,29,49,H.5
1906,29,50,H.4
1907,29,51,H.4
1908,29,52,H.0
1909,29,53,H.3
1910,29,54,H.0
1911,29,55,H.3
1912,29,56,H.0
1913,29,57,H.5
1914,29,58,H.0
1915,29,59,H.4
1916,29,60,H.0
1917,29,61,H.5
1918,29,62,H.0
1919,29,63,H.1
1921,30,1,H.5
1922,30,2,H.4
1923,30,3,H.4
1925,30,5,H.3
1926,30,6,H.3
1927,30,7,H.3
1929,30,9,H.5
1930,30,10,H.2
1931,30,11,H.2
1932,30,12,H.2
1933,30,13,H.2
1934,30,14,H.2
1935,30,15,H.2
1937,30,17,H.5
1938,30,18,H.1
1939,30,19,H.4
1940,30,20,H.1
1941,30,21,H.3
1942,30,22,H.1
1943,30,23,H.3
1945,30,25,H.5
1946,30,26,H.1
1947,30,27,H.1
1948,30,28,H.1
1949,30,29,H.1
1950,30,30,H.1
1951,30,31,H.1
1952,30,32,H.0
1953,30,33,H.5
1954,30,34,H.4
1955,30,35,H.4
1956,30,36,H.0
1957,30,37,H.3
1958,30,38,H.3
1959,30,39,H.3
1960,30,40,H.0
1961,30,41,H.5
1962,30,42,H.0
1963,30,43,H.2
1964,30,44,H.0
1965,30,45,H.5
1966,30,46,H.0
1967,30,47,H.2
1968,30,48,H.0
1969,30,49,H.5
1970,30,50,H.4
1971,30,51,H.4
1972,30,52,H.0
1973,30,53,H.3
1974,30,54,H.0
1975,30,55,H.3
1976,30,56,H.0
1977,30,57,H.5
1978,30,58,H.0
1979,30,59,H.4
1980,30,60,H.0
1981,30,61,H.5
1982,30,62,H.0
1983,30,63,H.5
1987,31,3,H.4
1990,31,6,H.3
1991,31,7,H.3
1992,31,8,H.2
1993,31,9,H.5
1994,31,10,H.2
1995,31,11,H.2
1996,31,12,H.2
1997,31,13,H.2
1998,31,14,H.2
1999,31,15,H.2
2000,31,16,H.1
2001,31,17,H.5
2002,31,18,H.4
2003,31,19,H.4
2004,31,20,H.1
2006,31,22,H.1
2007,31,23,H.3
2008,31,24,H.1
2009,31,25,H.5
2010,31,26,H.1
2011,31,27,H.4
2012,31,28,H.1
2013,31,29,H.5
2014,31,30,H.1
2015,31,31,H.1
2017,31,33,H.5
2019,31,35,H.4
2020,31,36,H.3
2021,31,37,H.3
2022,31,38,H.3
2023,31,39,H.3
2024,31,40,H.0
2025,31,41,H.5
2026,31,42,H.4
2027,31,43,H.4
2028,31,44,H.0
2029,31,45,H.2
2030,31,46,H.2
2031,31,47,H.2
2032,31,48,H.0
2033,31,49,H.5
2034,31,50,H.4
2035,31,51,H.4
2036,31,52,H.0
2037,31,53,H.3
2038,31,54,H.3
2039,31,55,H.3
2040,31,56,H.0
2041,31,57,H.5
2042,31,58,H.4
2043,31,59,H.4
2044,31,60,H.0
2045,31,61,H.5
2046,31,62,H.0
2047,31,63,H.3
2051,32,3,H.4
2054,32,6,H.3
2055,32,7,H.3
2056,32,8,H.2
2057,32,9,H.5
2058,32,10,H.2
2059,32,11,H.2
2060,32,12,H.2
2061,32,13,H.2
2062,32,14,H.2
2063,32,15,H.2
2064,32,16,H.1
2065,32,17,H.5
2066,32,18,H.4
2067,32,19,H.4
2068,32,20,H.1
2069,32,21,H.3
2070,32,22,H.1
2071,32,23,H.3
2072,32,24,H.1
2073,32,25,H.5
2074,32,26,H.1
2075,32,27,H.4
2076,32,28,H.1
2077,32,29,H.5
2078,32,30,H.1
2079,32,31,H.1
2081,32,33,H.5
2083,32,35,H.4
2084,32,36,H.3
2085,32,37,H.3
