bit_index,row_id,keep_mask,ambiguous_outputs
1162,18,10,D0.2|D1.2|H.2
1168,18,16,D1.1|H.1
1172,18,20,D1.1|H.1
1173,18,21,H.1|H.5
1216,19,0,D0.0|D1.0|H.0
1218,19,2,D0.4|D1.4|H.4
1232,19,16,D0.1|D1.1|H.1
1234,19,18,D0.1|D1.1|H.1
1280,20,0,D0.0|D1.0|H.0
1296,20,16,D1.1|H.1
1312,20,32,D0.0|D1.0|H.0
1344,21,0,D0.0|D1.0|H.0
1346,21,2,D0.4|D1.4|H.4
1348,21,4,D0.3|D1.3|H.3
1352,21,8,D0.2|D1.2|H.2
1354,21,10,D0.2|D1.2|H.2
1360,21,16,D1.1|H.1
1364,21,20,D1.1|H.1
1376,21,32,D0.0|D1.0|H.0
1408,22,0,D0.0|D1.0|H.0
1410,22,2,D0.4|D1.4|H.4
1424,22,16,D0.1|D1.1|H.1
1426,22,18,D0.1|D1.1|H.1
1440,22,32,D0.0|D1.0|H.0
1472,23,0,D0.0|D1.0|H.0
1474,23,2,D0.4|D1.4|H.4
1488,23,16,D1.1|H.1
1504,23,32,D0.0|D1.0|H.0
1536,24,0,D0.0|D1.0|H.0
1537,24,1,D0.5|H.5
1552,24,16,D1.1|H.1
1568,24,32,D0.0|D1.0|H.0
1569,24,33,D0.5|H.5
1600,25,0,D0.0|D1.0|H.0
1601,25,1,D0.5|H.5
1616,25,16,D0.1|D1.1|H.1
1621,25,21,H.1|H.3
1632,25,32,D0.0|D1.0|H.0
1633,25,33,D0.5|H.5
1664,26,0,D0.0|D1.0|H.0
1665,26,1,D0.5|H.5
1680,26,16,D1.1|H.1
1696,26,32,D0.0|D1.0|H.0
1697,26,33,D0.5|H.5
1728,27,0,D0.0|D1.0|H.0
1732,27,4,D1.3|H.3
1736,27,8,D0.2|D1.2|H.2
1792,28,0,D0.0|D1.0|H.0
1796,28,4,D1.3|H.3
1800,28,8,D0.2|D1.2|H.2
1856,29,0,D0.0|D1.0|H.0
1860,29,4,D1.3|H.3
1864,29,8,D0.2|D1.2|H.2
1920,30,0,D0.0|D1.0|H.0
1924,30,4,D1.3|H.3
1928,30,8,D0.2|D1.2|H.2
1936,30,16,D0.1|H.1
1944,30,24,D0.1|H.1
1984,31,0,D0.0|D1.0|H.0
1985,31,1,D0.5|D1.5|H.5
1986,31,2,D0.4|D1.4|H.4
1988,31,4,D1.3|H.3
1989,31,5,D1.3|H.3
2005,31,21,H.1|H.3
2016,31,32,D0.0|D1.0|H.0
2018,31,34,D0.4|D1.4|H.4
2048,32,0,D0.0|D1.0|H.0
2049,32,1,D0.5|D1.5|H.5
2050,32,2,D0.4|D1.4|H.4
2052,32,4,D1.3|H.3
2053,32,5,D1.3|H.3
2080,32,32,D0.0|D1.0|H.0
2082,32,34,D0.4|D1.4|H.4
2112,33,0,D0.0|D1.0|H.0
2113,33,1,D0.5|D1.5|H.5
2114,33,2,D0.4|D1.4|H.4
2116,33,4,D1.3|H.3
2117,33,5,D1.3|H.3
2120,33,8,D0.2|D1.2|H.2
2144,33,32,D0.0|D1.0|H.0
2146,33,34,D0.4|D1.4|H.4
2176,34,0,D0.0|D1.0|H.0
2177,34,1,D1.5|H.5
2184,34,8,D0.2|D1.2|H.2
2192,34,16,D0.1|D1.1|H.1
2193,34,17,D1.5|H.5
2197,34,21,H.3|H.5
2208,34,32,D0.0|D1.0|H.0
2216,34,40,D0.0|D1.0|H.0
2240,35,0,D0.0|D1.0|H.0
2241,35,1,D1.5|H.5
2248,35,8,D0.2|D1.2|H.2
2256,35,16,D0.1|D1.1|H.1
2257,35,17,D1.5|H.5
2272,35,32,D0.0|D1.0|H.0
2280,35,40,D0.0|D1.0|H.0
2304,36,0,D0.0|D1.0|H.0
2305,36,1,D1.5|H.5
2306,36,2,D0.4|D1.4|H.4
2368,37,0,D0.0|D1.0|H.0
2369,37,1,D1.5|H.5
2370,37,2,D0.4|D1.4|H.4
2432,38,0,D0.0|D1.0|H.0
2433,38,1,D1.5|H.5
2434,38,2,D0.4|D1.4|H.4
2496,39,0,D0.0|D1.0|H.0
2497,39,1,D1.5|H.5
2498,39,2,D0.4|D1.4|H.4
2560,40,0,D0.0|D1.0|H.0
2561,40,1,D1.5|H.5
2562,40,2,D0.4|D1.4|H.4
2568,40,8,D0.2|D1.2|H.2
2576,40,16,D0.1|D1.1|H.1
2577,40,17,D1.5|H.5
2592,40,32,D0.0|D1.0|H.0
2600,40,40,D0.0|D1.0|H.0
2624,41,0,D0.0|D1.0|H.0
2625,41,1,D1.5|H.5
2626,41,2,D0.4|D1.4|H.4
2632,41,8,D0.2|D1.2|H.2
2688,42,0,D0.0|D1.0|H.0
2689,42,1,D1.5|H.5
2690,42,2,D0.4|D1.4|H.4
2692,42,4,D0.3|H.3
2694,42,6,D0.3|H.3
2752,43,0,D0.0|D1.0|H.0
2753,43,1,D1.5|H.5
2754,43,2,D0.4|D1.4|H.4
2756,43,4,D0.3|H.3
2758,43,6,D0.3|H.3
2816,44,0,D0.0|D1.0|H.0
2820,44,4,D0.3|D1.3|H.3
2848,44,32,D0.0|D1.0|H.0
2852,44,36,D0.3|D1.3|H.3
2880,45,0,D0.0|D1.0|H.0
2884,45,4,D0.3|D1.3|H.3
2912,45,32,D0.0|D1.0|H.0
2916,45,36,D0.3|D1.3|H.3
2944,46,0,D0.0|D1.0|H.0
2948,46,4,D0.3|D1.3|H.3
2952,46,8,D0.2|D1.2|H.2
3008,47,0,D0.0|D1.0|H.0
3012,47,4,D0.3|D1.3|H.3
3016,47,8,D0.2|D1.2|H.2
3040,47,32,D0.0|D1.0|H.0
3044,47,36,D0.3|D1.3|H.3
3072,48,0,D0.0|D1.0|H.0
3076,48,4,D0.3|D1.3|H.3
3080,48,8,D0.2|D1.2|H.2
3088,48,16,D0.1|H.1
3093,48,21,H.3|H.5
3096,48,24,D0.1|H.1
3136,49,0,D0.0|D1.0|H.0
3140,49,4,D1.3|H.3
3144,49,8,D0.2|D1.2|H.2
3200,50,0,D0.0|D1.0|H.0
3204,50,4,D1.3|H.3
3208,50,8,D0.2|D1.2|H.2
3232,50,32,D0.0|D1.0|H.0
3264,51,0,D0.0|D1.0|H.0
3268,51,4,D1.3|H.3
3272,51,8,D0.2|D1.2|H.2
3280,51,16,D0.1|H.1
3288,51,24,D0.1|H.1
3328,52,0,D0.0|D1.0|H.0
3329,52,1,D0.5|D1.5|H.5
3336,52,8,D0.2|D1.2|H.2
3337,52,9,D0.2|D1.2|H.2
3392,53,0,D0.0|D1.0|H.0
3393,53,1,D0.5|D1.5|H.5
3400,53,8,D0.2|D1.2|H.2
3401,53,9,D0.2|D1.2|H.2
3456,54,0,D0.0|D1.0|H.0
3457,54,1,D0.5|D1.5|H.5
3458,54,2,D0.4|D1.4|H.4
3520,55,0,D0.0|D1.0|H.0
3521,55,1,D0.5|D1.5|H.5
3522,55,2,D0.4|D1.4|H.4
3528,55,8,D0.2|D1.2|H.2
3529,55,9,D0.2|D1.2|H.2
3584,56,0,D0.0|D1.0|H.0
3585,56,1,D0.5|D1.5|H.5
3586,56,2,D0.4|D1.4|H.4
3588,56,4,D0.3|H.3
3590,56,6,D0.3|H.3
3605,56,21,H.1|H.5
