# REPHEX current computed pattern
# axiom=F level=5 cells=15841
# source=F: F@e; F -> F + {B_i@g_i : i=0..5}
# q r state orientation colour_index dark_cap leaf_tag
0 -75 0 1 1 0 N
1 -75 G 2 4 0 T
2 -75 G 5 2 0 T
3 -75 G 4 3 0 T
4 -75 C 2 1 1 N
5 -75 G 5 3 0 P
6 -75 G 4 4 0 P
7 -75 B 5 5 0 N
8 -75 B 4 6 0 N
9 -75 G 2 5 0 P
10 -75 G 5 2 0 P
11 -75 G 4 3 0 P
12 -75 G 0 9 0 P
13 -75 0 1 1 0 N
14 -75 G 2 4 0 P
15 -75 G 5 2 0 P
16 -75 G 4 3 0 P
17 -75 G 0 4 0 P
18 -75 0 1 0 0 N
19 -75 G 0 10 0 U
20 -75 0 2 1 0 N
21 -75 B 4 5 0 N
22 -75 G 2 5 0 T
23 -75 G 5 2 0 T
24 -75 G 4 3 0 T
25 -75 C 2 1 1 N
26 -75 G 5 3 0 P
27 -75 G 4 4 0 P
28 -75 B 5 5 0 N
29 -75 B 4 6 0 N
30 -75 G 2 5 0 U
31 -75 G 5 2 0 U
32 -75 G 4 3 0 U
67 -75 G 0 9 0 U
68 -75 0 1 1 0 N
69 -75 G 2 4 0 P
70 -75 G 5 2 0 P
71 -75 G 4 3 0 P
72 -75 G 0 4 0 P
73 -75 0 1 0 0 N
74 -75 G 0 10 0 U
75 -75 0 2 1 0 N
76 -75 B 4 5 0 N
77 -75 G 2 5 0 T
78 -75 G 5 2 0 T
79 -75 G 4 3 0 T
80 -75 C 2 1 1 N
81 -75 G 5 3 0 P
82 -75 G 4 4 0 P
83 -75 B 5 5 0 N
84 -75 B 4 6 0 N
85 -75 G 2 5 0 U
86 -75 G 5 2 0 U
87 -75 G 4 3 0 U
-3 -74 G 1 3 0 U
-2 -74 G 2 2 0 U
-1 -74 G 5 10 0 U
0 -74 1 1 0 0 N
1 -74 G 3 3 0 T
2 -74 G 1 4 0 T
3 -74 1 2 0 0 N
4 -74 G 3 3 0 P
5 -74 G 1 2 0 P
6 -74 0 5 0 0 N
7 -74 G 3 5 0 P
8 -74 0 4 0 0 N
9 -74 G 3 4 0 P
10 -74 G 1 3 0 P
11 -74 G 2 2 0 P
12 -74 G 5 10 0 P
13 -74 1 1 0 0 N
14 -74 G 3 3 0 P
15 -74 G 1 3 0 P
16 -74 G 2 2 0 P
17 -74 G 5 5 0 P
18 -74 B 1 7 0 N
19 -74 1 2 0 0 N
20 -74 G 3 4 0 T
21 -74 0 4 0 0 N
22 -74 G 3 4 0 T
23 -74 G 1 4 0 T
24 -74 1 2 0 0 N
25 -74 G 3 3 0 P
26 -74 G 1 2 0 P
27 -74 0 5 0 0 N
28 -74 G 3 5 0 U
29 -74 0 4 0 0 N
30 -74 G 3 4 0 U
65 -74 G 1 3 0 U
66 -74 G 2 2 0 U
67 -74 G 5 10 0 U
68 -74 1 1 0 0 N
69 -74 G 3 3 0 P
70 -74 G 1 3 0 P
71 -74 G 2 2 0 P
72 -74 G 5 5 0 P
73 -74 B 1 7 0 N
74 -74 1 2 0 0 N
75 -74 G 3 4 0 T
76 -74 0 4 0 0 N
77 -74 G 3 4 0 T
78 -74 G 1 4 0 T
79 -74 1 2 0 0 N
80 -74 G 3 3 0 P
81 -74 G 1 2 0 P
82 -74 0 5 0 0 N
83 -74 G 3 5 0 U
84 -74 0 4 0 0 N
85 -74 G 3 4 0 U
-4 -73 C 0 1 1 N
-3 -73 1 0 0 0 N
-2 -73 0 0 0 0 N
-1 -73 B 0 7 0 N
0 -73 0 1 0 0 N
1 -73 G 0 5 0 T
2 -73 0 2 0 0 N
3 -73 G 4 2 0 P
4 -73 G 0 3 0 P
5 -73 1 5 0 0 N
6 -73 G 4 4 0 P
7 -73 G 0 2 0 P
8 -73 1 4 0 0 N
9 -73 C 0 1 1 N
10 -73 1 0 0 0 N
11 -73 0 0 0 0 N
12 -73 B 0 7 0 N
13 -73 0 1 0 0 N
14 -73 C 0 1 1 N
15 -73 1 0 0 0 N
16 -73 0 0 0 0 N
17 -73 B 0 8 0 N
18 -73 0 2 0 0 N
19 -73 G 4 3 0 T
20 -73 G 0 2 0 T
21 -73 1 4 0 0 N
22 -73 G 0 5 0 T
23 -73 0 2 0 0 N
24 -73 G 4 2 0 P
25 -73 G 0 3 0 P
26 -73 1 5 0 0 N
27 -73 G 4 4 0 U
28 -73 G 0 2 0 U
29 -73 1 4 0 0 N
64 -73 C 0 1 1 N
65 -73 1 0 0 0 N
66 -73 0 0 0 0 N
67 -73 B 0 7 0 N
68 -73 0 1 0 0 N
69 -73 C 0 1 1 N
70 -73 1 0 0 0 N
71 -73 0 0 0 0 N
72 -73 B 0 8 0 N
73 -73 0 2 0 0 N
74 -73 G 4 3 0 T
75 -73 G 0 2 0 T
76 -73 1 4 0 0 N
77 -73 G 0 5 0 T
78 -73 0 2 0 0 N
79 -73 G 4 2 0 P
80 -73 G 0 3 0 P
81 -73 1 5 0 0 N
82 -73 G 4 4 0 U
83 -73 G 0 2 0 U
84 -73 1 4 0 0 N
-8 -72 C 1 1 1 N
-7 -72 G 2 3 0 U
-4 -72 C 2 1 1 N
-3 -72 G 5 4 0 P
-2 -72 G 4 5 0 P
-1 -72 B 5 8 0 N
0 -72 B 1 2 0 N
1 -72 B 2 6 0 N
2 -72 G 1 5 0 P
3 -72 G 2 4 0 P
4 -72 C 5 1 1 N
5 -72 C 1 1 1 N
6 -72 G 2 3 0 P
7 -72 G 5 3 0 P
8 -72 C 4 1 1 N
9 -72 C 2 1 1 N
10 -72 G 5 4 0 P
11 -72 G 4 5 0 P
12 -72 B 5 8 0 N
13 -72 B 1 1 0 N
14 -72 G 2 3 0 T
15 -72 G 5 4 0 T
16 -72 G 4 5 0 T
17 -72 B 2 2 0 N
18 -72 G 1 5 0 T
19 -72 G 2 4 0 T
20 -72 G 5 3 0 T
21 -72 B 4 1 0 N
22 -72 B 2 8 0 N
23 -72 G 1 5 0 P
24 -72 G 2 4 0 P
25 -72 C 5 1 1 N
28 -72 G 5 3 0 U
29 -72 C 4 1 1 N
60 -72 C 1 1 1 N
61 -72 G 2 3 0 U
64 -72 C 2 1 1 N
65 -72 G 5 4 0 P
66 -72 G 4 5 0 P
67 -72 B 5 8 0 N
68 -72 B 1 1 0 N
69 -72 G 2 3 0 T
70 -72 G 5 4 0 T
71 -72 G 4 5 0 T
72 -72 B 2 2 0 N
73 -72 G 1 5 0 T
74 -72 G 2 4 0 T
75 -72 G 5 3 0 T
76 -72 B 4 1 0 N
77 -72 B 2 8 0 N
78 -72 G 1 5 0 P
79 -72 G 2 4 0 P
80 -72 C 5 1 1 N
83 -72 G 5 3 0 U
84 -72 C 4 1 1 N
-8 -71 1 1 0 0 N
-7 -71 G 3 2 0 U
-6 -71 G 1 4 0 U
-5 -71 1 2 0 0 N
-4 -71 G 3 3 0 P
-3 -71 G 1 2 0 P
-2 -71 0 5 0 0 N
-1 -71 G 3 5 0 T
0 -71 1 1 1 0 N
1 -71 B 3 5 0 N
2 -71 0 3 0 0 N
3 -71 1 3 0 0 N
4 -71 C 3 1 1 N
5 -71 1 1 0 0 N
6 -71 G 3 2 0 P
7 -71 G 1 4 0 P
8 -71 1 2 0 0 N
9 -71 G 3 3 0 P
10 -71 G 1 2 0 P
11 -71 0 5 0 0 N
12 -71 G 3 5 0 T
13 -71 1 1 0 0 N
14 -71 G 3 2 0 T
15 -71 G 1 9 0 T
16 -71 1 2 1 0 N
17 -71 B 3 6 0 N
18 -71 0 3 0 0 N
19 -71 1 3 0 0 N
20 -71 C 3 1 1 N
21 -71 0 4 0 0 N
22 -71 B 3 7 0 N
23 -71 0 3 0 0 N
24 -71 1 3 0 0 N
25 -71 C 3 1 1 N
60 -71 1 1 0 0 N
61 -71 G 3 2 0 U
62 -71 G 1 4 0 U
63 -71 1 2 0 0 N
64 -71 G 3 3 0 P
65 -71 G 1 2 0 P
66 -71 0 5 0 0 N
67 -71 G 3 5 0 T
68 -71 1 1 0 0 N
69 -71 G 3 2 0 T
70 -71 G 1 9 0 T
71 -71 1 2 1 0 N
72 -71 B 3 6 0 N
