# REPHEX current computed pattern
# axiom=F level=5 cells=15841
# source=F: F@e; F -> F + {B_i@g_i : i=0..5}
# q r state orientation colour_index dark_cap leaf_tag
27 -84 G 3 2 0 N
28 -84 G 1 9 0 N
29 -84 1 2 1 0 N
30 -84 B 3 6 0 N
31 -84 0 3 0 0 N
32 -84 1 3 0 0 N
33 -84 C 3 1 1 N
81 -84 1 1 0 0 N
82 -84 G 3 2 0 N
83 -84 G 1 9 0 N
84 -84 1 2 1 0 N
85 -84 B 3 6 0 N
86 -84 0 3 0 0 N
87 -84 1 3 0 0 N
88 -84 C 3 1 1 N
-1 -83 G 0 9 0 N
0 -83 0 1 1 0 N
1 -83 G 2 4 0 N
2 -83 G 5 2 0 N
3 -83 G 4 3 0 N
4 -83 G 0 4 0 N
5 -83 0 1 0 0 N
6 -83 G 0 10 0 N
7 -83 0 2 1 0 N
8 -83 B 4 5 0 N
9 -83 G 2 5 0 N
10 -83 G 5 2 0 N
11 -83 G 4 3 0 N
25 -83 G 0 4 0 N
26 -83 0 1 0 0 N
27 -83 G 0 10 0 N
28 -83 0 2 1 0 N
29 -83 B 4 5 0 N
30 -83 G 2 5 0 N
31 -83 G 5 2 0 N
32 -83 G 4 3 0 N
80 -83 G 0 4 0 N
81 -83 0 1 0 0 N
82 -83 G 0 10 0 N
83 -83 0 2 1 0 N
84 -83 B 4 5 0 N
85 -83 G 2 5 0 N
86 -83 G 5 2 0 N
87 -83 G 4 3 0 N
-3 -82 G 1 3 0 N
-2 -82 G 2 2 0 N
-1 -82 G 5 10 0 N
0 -82 1 1 0 0 N
1 -82 G 3 3 0 N
2 -82 G 1 3 0 N
3 -82 G 2 2 0 N
4 -82 G 5 5 0 N
5 -82 B 1 7 0 N
6 -82 1 2 0 0 N
7 -82 G 3 4 0 N
8 -82 0 4 0 0 N
9 -82 G 3 4 0 N
23 -82 G 1 3 0 N
24 -82 G 2 2 0 N
25 -82 G 5 5 0 N
26 -82 B 1 7 0 N
27 -82 1 2 0 0 N
28 -82 G 3 4 0 N
29 -82 0 4 0 0 N
30 -82 G 3 4 0 N
78 -82 G 1 3 0 N
79 -82 G 2 2 0 N
80 -82 G 5 5 0 N
81 -82 B 1 7 0 N
82 -82 1 2 0 0 N
83 -82 G 3 4 0 N
84 -82 0 4 0 0 N
85 -82 G 3 4 0 N
-4 -81 C 0 1 1 N
-3 -81 1 0 0 0 N
-2 -81 0 0 0 0 N
-1 -81 B 0 7 0 N
0 -81 0 1 0 0 N
1 -81 C 0 1 1 N
2 -81 1 0 0 0 N
3 -81 0 0 0 0 N
4 -81 B 0 8 0 N
5 -81 0 2 0 0 N
6 -81 G 4 3 0 N
7 -81 G 0 2 0 N
8 -81 1 4 0 0 N
22 -81 C 0 1 1 N
23 -81 1 0 0 0 N
24 -81 0 0 0 0 N
25 -81 B 0 8 0 N
26 -81 0 2 0 0 N
27 -81 G 4 3 0 N
28 -81 G 0 2 0 N
29 -81 1 4 0 0 N
77 -81 C 0 1 1 N
78 -81 1 0 0 0 N
79 -81 0 0 0 0 N
80 -81 B 0 8 0 N
81 -81 0 2 0 0 N
82 -81 G 4 3 0 N
83 -81 G 0 2 0 N
84 -81 1 4 0 0 N
-3 -80 G 5 4 0 N
-2 -80 G 4 5 0 N
-1 -80 B 5 8 0 N
0 -80 B 1 1 0 N
1 -80 G 2 3 0 N
2 -80 G 5 4 0 N
3 -80 G 4 5 0 N
4 -80 B 2 1 0 N
5 -80 C 1 1 1 N
6 -80 G 2 3 0 N
7 -80 G 5 3 0 N
8 -80 C 4 1 1 N
9 -80 C 2 1 1 N
13 -80 C 1 1 1 N
14 -80 G 2 3 0 N
17 -80 C 2 1 1 N
23 -80 G 5 4 0 N
24 -80 G 4 5 0 N
25 -80 B 2 1 0 N
26 -80 C 1 1 1 N
27 -80 G 2 3 0 N
28 -80 G 5 3 0 N
29 -80 C 4 1 1 N
30 -80 C 2 1 1 N
68 -80 C 1 1 1 N
69 -80 G 2 3 0 N
72 -80 C 2 1 1 N
78 -80 G 5 4 0 N
79 -80 G 4 5 0 N
80 -80 B 2 1 0 N
81 -80 C 1 1 1 N
82 -80 G 2 3 0 N
83 -80 G 5 3 0 N
84 -80 C 4 1 1 N
85 -80 C 2 1 1 N
-3 -79 G 1 2 0 N
-2 -79 0 5 0 0 N
-1 -79 G 3 5 0 N
0 -79 1 1 0 0 N
1 -79 G 3 2 0 N
2 -79 G 1 4 0 N
3 -79 1 2 0 0 N
4 -79 G 3 3 0 N
5 -79 1 1 0 0 N
6 -79 G 3 2 0 N
7 -79 G 1 4 0 N
8 -79 1 2 0 0 N
9 -79 G 3 3 0 N
13 -79 1 1 0 0 N
14 -79 G 3 2 0 N
15 -79 G 1 4 0 N
16 -79 1 2 0 0 N
17 -79 G 3 3 0 N
23 -79 G 1 4 0 N
24 -79 1 2 0 0 N
25 -79 G 3 3 0 N
26 -79 1 1 0 0 N
27 -79 G 3 2 0 N
28 -79 G 1 4 0 N
29 -79 1 2 0 0 N
30 -79 G 3 3 0 N
68 -79 1 1 0 0 N
69 -79 G 3 2 0 N
70 -79 G 1 4 0 N
71 -79 1 2 0 0 N
72 -79 G 3 3 0 N
78 -79 G 1 4 0 N
79 -79 1 2 0 0 N
80 -79 G 3 3 0 N
81 -79 1 1 0 0 N
82 -79 G 3 2 0 N
83 -79 G 1 4 0 N
84 -79 1 2 0 0 N
85 -79 G 3 3 0 N
-4 -78 G 0 3 0 N
-3 -78 1 5 0 0 N
-2 -78 G 4 4 0 N
-1 -78 G 0 4 0 N
0 -78 0 1 0 0 N
1 -78 G 0 5 0 N
2 -78 0 2 0 0 N
3 -78 G 4 2 0 N
4 -78 G 0 4 0 N
5 -78 0 1 0 0 N
6 -78 G 0 5 0 N
7 -78 0 2 0 0 N
8 -78 G 4 2 0 N
12 -78 G 0 4 0 N
13 -78 0 1 0 0 N
14 -78 G 0 5 0 N
15 -78 0 2 0 0 N
16 -78 G 4 2 0 N
22 -78 G 0 5 0 N
23 -78 0 2 0 0 N
24 -78 G 4 2 0 N
25 -78 G 0 4 0 N
26 -78 0 1 0 0 N
27 -78 G 0 5 0 N
28 -78 0 2 0 0 N
29 -78 G 4 2 0 N
67 -78 G 0 4 0 N
68 -78 0 1 0 0 N
69 -78 G 0 5 0 N
70 -78 0 2 0 0 N
71 -78 G 4 2 0 N
77 -78 G 0 5 0 N
78 -78 0 2 0 0 N
79 -78 G 4 2 0 N
80 -78 G 0 4 0 N
81 -78 0 1 0 0 N
82 -78 G 0 5 0 N
83 -78 0 2 0 0 N
84 -78 G 4 2 0 N
-4 -77 C 5 1 1 N
-1 -77 G 5 5 0 N
0 -77 B 1 2 0 N
1 -77 B 2 6 0 N
2 -77 G 1 5 0 N
3 -77 G 2 4 0 N
4 -77 G 5 5 0 N
5 -77 B 1 8 0 N
6 -77 B 2 7 0 N
7 -77 G 1 10 0 N
8 -77 G 2 9 0 N
10 -77 G 1 5 0 N
11 -77 G 2 4 0 N
12 -77 G 5 5 0 N
13 -77 B 1 2 0 N
14 -77 B 2 6 0 N
15 -77 G 1 5 0 N
16 -77 G 2 4 0 N
18 -77 C 1 1 1 N
19 -77 G 2 3 0 N
22 -77 B 2 2 0 N
23 -77 G 1 5 0 N
24 -77 G 2 4 0 N
25 -77 G 5 5 0 N
26 -77 B 1 8 0 N
27 -77 B 2 7 0 N
28 -77 G 1 10 0 N
29 -77 G 2 9 0 N
31 -77 G 1 5 0 N
32 -77 G 2 4 0 N
67 -77 G 5 5 0 N
68 -77 B 1 2 0 N
69 -77 B 2 6 0 N
70 -77 G 1 5 0 N
71 -77 G 2 4 0 N
73 -77 C 1 1 1 N
74 -77 G 2 3 0 N
77 -77 B 2 2 0 N
78 -77 G 1 5 0 N
79 -77 G 2 4 0 N
80 -77 G 5 5 0 N
81 -77 B 1 8 0 N
82 -77 B 2 7 0 N
83 -77 G 1 10 0 N
84 -77 G 2 9 0 N
86 -77 G 1 5 0 N
87 -77 G 2 4 0 N
0 -76 1 1 1 0 N
1 -76 B 3 5 0 N
2 -76 0 3 0 0 N
3 -76 1 3 0 0 N
4 -76 B 3 1 0 N
5 -76 0 3 0 0 N
6 -76 1 3 0 0 N
7 -76 0 3 1 0 N
8 -76 1 3 1 0 N
9 -76 B 3 2 0 N
10 -76 0 3 0 0 N
11 -76 1 3 0 0 N
12 -76 C 3 1 1 N
13 -76 1 1 1 0 N
14 -76 B 3 5 0 N
15 -76 0 3 0 0 N
16 -76 1 3 0 0 N
17 -76 C 3 1 1 N
18 -76 1 1 0 0 N
19 -76 G 3 2 0 N
20 -76 G 1 9 0 N
21 -76 1 2 1 0 N
22 -76 B 3 6 0 N
23 -76 0 3 0 0 N
24 -76 1 3 0 0 N
25 -76 B 3 1 0 N
26 -76 0 3 0 0 N
27 -76 1 3 0 0 N
28 -76 0 3 1 0 N
29 -76 1 3 1 0 N
30 -76 B 3 2 0 N
31 -76 0 3 0 0 N
32 -76 1 3 0 0 N
33 -76 C 3 1 1 N
68 -76 1 1 1 0 N
69 -76 B 3 5 0 N
70 -76 0 3 0 0 N
71 -76 1 3 0 0 N
72 -76 C 3 1 1 N
73 -76 1 1 0 0 N
74 -76 G 3 2 0 N
75 -76 G 1 9 0 N
76 -76 1 2 1 0 N
77 -76 B 3 6 0 N
78 -76 0 3 0 0 N
79 -76 1 3 0 0 N
80 -76 B 3 1 0 N
81 -76 0 3 0 0 N
82 -76 1 3 0 0 N
83 -76 0 3 1 0 N
84 -76 1 3 1 0 N
85 -76 B 3 2 0 N
86 -76 0 3 0 0 N
87 -76 1 3 0 0 N
88 -76 C 3 1 1 N
-1 -75 G 0 9 0 N
0 -75 0 1 1 0 N
1 -75 G 2 4 0 N
2 -75 G 5 2 0 N
3 -75 G 4 3 0 N
4 -75 C 2 1 1 N
5 -75 G 5 3 0 N
6 -75 G 4 4 0 N
7 -75 B 5 5 0 N
8 -75 B 4 6 0 N
9 -75 G 2 5 0 N
10 -75 G 5 2 0 N
11 -75 G 4 3 0 N
12 -75 G 0 9 0 N
13 -75 0 1 1 0 N
14 -75 G 2 4 0 N
15 -75 G 5 2 0 N
16 -75 G 4 3 0 N
17 -75 G 0 4 0 N
18 -75 0 1 0 0 N
19 -75 G 0 10 0 N
20 -75 0 2 1 0 N
21 -75 B 4 5 0 N
22 -75 G 2 5 0 N
23 -75 G 5 2 0 N
24 -75 G 4 3 0 N
25 -75 C 2 1 1 N
26 -75 G 5 3 0 N
27 -75 G 4 4 0 N
28 -75 B 5 5 0 N
29 -75 B 4 6 0 N
30 -75 G 2 5 0 N
31 -75 G 5 2 0 N
32 -75 G 4 3 0 N
67 -75 G 0 9 0 N
68 -75 0 1 1 0 N
69 -75 G 2 4 0 N
70 -75 G 5 2 0 N
71 -75 G 4 3 0 N
72 -75 G 0 4 0 N
73 -75 0 1 0 0 N
74 -75 G 0 10 0 N
75 -75 0 2 1 0 N
76 -75 B 4 5 0 N
77 -75 G 2 5 0 N
78 -75 G 5 2 0 N
79 -75 G 4 3 0 N
80 -75 C 2 1 1 N
81 -75 G 5 3 0 N
82 -75 G 4 4 0 N
83 -75 B 5 5 0 N
84 -75 B 4 6 0 N
85 -75 G 2 5 0 N
86 -75 G 5 2 0 N
87 -75 G 4 3 0 N
-3 -74 G 1 3 0 N
-2 -74 G 2 2 0 N
-1 -74 G 5 10 0 N
0 -74 1 1 0 0 N
1 -74 G 3 3 0 N
2 -74 G 1 4 0 N
3 -74 1 2 0 0 N
4 -74 G 3 3 0 N
5 -74 G 1 2 0 N
6 -74 0 5 0 0 N
7 -74 G 3 5 0 N
8 -74 0 4 0 0 N
9 -74 G 3 4 0 N
10 -74 G 1 3 0 N
11 -74 G 2 2 0 N
12 -74 G 5 10 0 N
13 -74 1 1 0 0 N
14 -74 G 3 3 0 N
15 -74 G 1 3 0 N
16 -74 G 2 2 0 N
17 -74 G 5 5 0 N
18 -74 B 1 7 0 N
19 -74 1 2 0 0 N
20 -74 G 3 4 0 N
21 -74 0 4 0 0 N
22 -74 G 3 4 0 N
23 -74 G 1 4 0 N
24 -74 1 2 0 0 N
25 -74 G 3 3 0 N
26 -74 G 1 2 0 N
27 -74 0 5 0 0 N
28 -74 G 3 5 0 N
29 -74 0 4 0 0 N
30 -74 G 3 4 0 N
65 -74 G 1 3 0 N
66 -74 G 2 2 0 N
67 -74 G 5 10 0 N
68 -74 1 1 0 0 N
69 -74 G 3 3 0 N
70 -74 G 1 3 0 N
71 -74 G 2 2 0 N
72 -74 G 5 5 0 N
73 -74 B 1 7 0 N
74 -74 1 2 0 0 N
75 -74 G 3 4 0 N
76 -74 0 4 0 0 N
77 -74 G 3 4 0 N
78 -74 G 1 4 0 N
79 -74 1 2 0 0 N
80 -74 G 3 3 0 N
81 -74 G 1 2 0 N
82 -74 0 5 0 0 N
83 -74 G 3 5 0 N
84 -74 0 4 0 0 N
85 -74 G 3 4 0 N
-4 -73 C 0 1 1 N
-3 -73 1 0 0 0 N
-2 -73 0 0 0 0 N
-1 -73 B 0 7 0 N
0 -73 0 1 0 0 N
1 -73 G 0 5 0 N
2 -73 0 2 0 0 N
3 -73 G 4 2 0 N
4 -73 G 0 3 0 N
5 -73 1 5 0 0 N
6 -73 G 4 4 0 N
7 -73 G 0 2 0 N
8 -73 1 4 0 0 N
9 -73 C 0 1 1 N
10 -73 1 0 0 0 N
11 -73 0 0 0 0 N
12 -73 B 0 7 0 N
13 -73 0 1 0 0 N
14 -73 C 0 1 1 N
15 -73 1 0 0 0 N
16 -73 0 0 0 0 N
17 -73 B 0 8 0 N
18 -73 0 2 0 0 N
19 -73 G 4 3 0 N
20 -73 G 0 2 0 N
21 -73 1 4 0 0 N
22 -73 G 0 5 0 N
23 -73 0 2 0 0 N
24 -73 G 4 2 0 N
25 -73 G 0 3 0 N
26 -73 1 5 0 0 N
27 -73 G 4 4 0 N
28 -73 G 0 2 0 N
29 -73 1 4 0 0 N
64 -73 C 0 1 1 N
65 -73 1 0 0 0 N
66 -73 0 0 0 0 N
67 -73 B 0 7 0 N
68 -73 0 1 0 0 N
69 -73 C 0 1 1 N
70 -73 1 0 0 0 N
71 -73 0 0 0 0 N
72 -73 B 0 8 0 N
73 -73 0 2 0 0 N
74 -73 G 4 3 0 N
75 -73 G 0 2 0 N
76 -73 1 4 0 0 N
77 -73 G 0 5 0 N
78 -73 0 2 0 0 N
79 -73 G 4 2 0 N
80 -73 G 0 3 0 N
81 -73 1 5 0 0 N
82 -73 G 4 4 0 N
83 -73 G 0 2 0 N
84 -73 1 4 0 0 N
-8 -72 C 1 1 1 N
-7 -72 G 2 3 0 N
-4 -72 C 2 1 1 N
-3 -72 G 5 4 0 N
-2 -72 G 4 5 0 N
-1 -72 B 5 8 0 N
0 -72 B 1 2 0 N
1 -72 B 2 6 0 N
2 -72 G 1 5 0 N
3 -72 G 2 4 0 N
4 -72 C 5 1 1 N
5 -72 C 1 1 1 N
6 -72 G 2 3 0 N
7 -72 G 5 3 0 N
8 -72 C 4 1 1 N
9 -72 C 2 1 1 N
10 -72 G 5 4 0 N
11 -72 G 4 5 0 N
12 -72 B 5 8 0 N
13 -72 B 1 1 0 N
14 -72 G 2 3 0 N
15 -72 G 5 4 0 N
16 -72 G 4 5 0 N
17 -72 B 2 2 0 N
18 -72 G 1 5 0 N
19 -72 G 2 4 0 N
20 -72 G 5 3 0 N
21 -72 B 4 1 0 N
22 -72 B 2 8 0 N
23 -72 G 1 5 0 N
24 -72 G 2 4 0 N
25 -72 C 5 1 1 N
28 -72 G 5 3 0 N
29 -72 C 4 1 1 N
60 -72 C 1 1 1 N
61 -72 G 2 3 0 N
64 -72 C 2 1 1 N
65 -72 G 5 4 0 N
66 -72 G 4 5 0 N
67 -72 B 5 8 0 N
68 -72 B 1 1 0 N
69 -72 G 2 3 0 N
70 -72 G 5 4 0 N
71 -72 G 4 5 0 N
72 -72 B 2 2 0 N
73 -72 G 1 5 0 N
74 -72 G 2 4 0 N
75 -72 G 5 3 0 N
76 -72 B 4 1 0 N
77 -72 B 2 8 0 N
78 -72 G 1 5 0 N
79 -72 G 2 4 0 N
80 -72 C 5 1 1 N
83 -72 G 5 3 0 N
84 -72 C 4 1 1 N
-8 -71 1 1 0 0 N
-7 -71 G 3 2 0 N
-6 -71 G 1 4 0 N
-5 -71 1 2 0 0 N
-4 -71 G 3 3 0 N
-3 -71 G 1 2 0 N
-2 -71 0 5 0 0 N
-1 -71 G 3 5 0 N
0 -71 1 1 1 0 N
1 -71 B 3 5 0 N
2 -71 0 3 0 0 N
3 -71 1 3 0 0 N
4 -71 C 3 1 1 N
5 -71 1 1 0 0 N
6 -71 G 3 2 0 N
7 -71 G 1 4 0 N
8 -71 1 2 0 0 N
9 -71 G 3 3 0 N
10 -71 G 1 2 0 N
11 -71 0 5 0 0 N
12 -71 G 3 5 0 N
13 -71 1 1 0 0 N
14 -71 G 3 2 0 N
15 -71 G 1 9 0 N
16 -71 1 2 1 0 N
17 -71 B 3 6 0 N
18 -71 0 3 0 0 N
19 -71 1 3 0 0 N
20 -71 C 3 1 1 N
21 -71 0 4 0 0 N
22 -71 B 3 7 0 N
23 -71 0 3 0 0 N
24 -71 1 3 0 0 N
25 -71 C 3 1 1 N
60 -71 1 1 0 0 N
61 -71 G 3 2 0 N
62 -71 G 1 4 0 N
63 -71 1 2 0 0 N
64 -71 G 3 3 0 N
65 -71 G 1 2 0 N
66 -71 0 5 0 0 N
67 -71 G 3 5 0 N
68 -71 1 1 0 0 N
69 -71 G 3 2 0 N
70 -71 G 1 9 0 N
71 -71 1 2 1 0 N
72 -71 B 3 6 0 N
73 -71 0 3 0 0 N
74 -71 1 3 0 0 N
75 -71 C 3 1 1 N
76 -71 0 4 0 0 N
77 -71 B 3 7 0 N
78 -71 0 3 0 0 N
79 -71 1 3 0 0 N
80 -71 C 3 1 1 N
-9 -70 G 0 4 0 N
-8 -70 0 1 0 0 N
-7 -70 G 0 5 0 N
-6 -70 0 2 0 0 N
-5 -70 G 4 2 0 N
-4 -70 G 0 3 0 N
-3 -70 1 5 0 0 N
-2 -70 G 4 4 0 N
-1 -70 G 0 9 0 N
0 -70 0 1 1 0 N
1 -70 G 2 4 0 N
2 -70 G 5 2 0 N
3 -70 G 4 3 0 N
4 -70 G 0 4 0 N
5 -70 0 1 0 0 N
6 -70 G 0 5 0 N
7 -70 0 2 0 0 N
8 -70 G 4 2 0 N
9 -70 G 0 3 0 N
10 -70 1 5 0 0 N
11 -70 G 4 4 0 N
12 -70 G 0 4 0 N
13 -70 0 1 0 0 N
14 -70 G 0 10 0 N
15 -70 0 2 1 0 N
16 -70 B 4 5 0 N
17 -70 G 2 5 0 N
18 -70 G 5 2 0 N
19 -70 G 4 3 0 N
20 -70 G 0 3 0 N
21 -70 1 4 0 0 N
22 -70 G 2 10 0 N
23 -70 G 5 2 0 N
24 -70 G 4 3 0 N
59 -70 G 0 4 0 N
60 -70 0 1 0 0 N
61 -70 G 0 5 0 N
62 -70 0 2 0 0 N
63 -70 G 4 2 0 N
64 -70 G 0 3 0 N
65 -70 1 5 0 0 N
66 -70 G 4 4 0 N
67 -70 G 0 4 0 N
68 -70 0 1 0 0 N
69 -70 G 0 10 0 N
70 -70 0 2 1 0 N
71 -70 B 4 5 0 N
72 -70 G 2 5 0 N
73 -70 G 5 2 0 N
74 -70 G 4 3 0 N
75 -70 G 0 3 0 N
76 -70 1 4 0 0 N
77 -70 G 2 10 0 N
78 -70 G 5 2 0 N
79 -70 G 4 3 0 N
-11 -69 G 1 3 0 N
-10 -69 G 2 2 0 N
-9 -69 G 5 5 0 N
-8 -69 B 1 6 0 N
-7 -69 B 2 5 0 N
-6 -69 G 1 4 0 N
-5 -69 G 2 3 0 N
-4 -69 C 5 1 1 N
-3 -69 G 1 3 0 N
-2 -69 G 2 2 0 N
-1 -69 G 5 10 0 N
0 -69 1 1 0 0 N
1 -69 G 3 3 0 N
2 -69 G 1 3 0 N
3 -69 G 2 2 0 N
4 -69 G 5 5 0 N
5 -69 B 1 6 0 N
6 -69 B 2 5 0 N
7 -69 G 1 4 0 N
8 -69 G 2 3 0 N
9 -69 C 5 1 1 N
10 -69 G 1 3 0 N
11 -69 G 2 2 0 N
12 -69 G 5 5 0 N
13 -69 B 1 7 0 N
14 -69 1 2 0 0 N
15 -69 G 3 4 0 N
16 -69 0 4 0 0 N
17 -69 G 3 4 0 N
18 -69 G 1 3 0 N
19 -69 G 2 2 0 N
20 -69 G 5 4 0 N
21 -69 0 4 1 0 N
22 -69 G 3 9 0 N
57 -69 G 1 3 0 N
58 -69 G 2 2 0 N
59 -69 G 5 5 0 N
60 -69 B 1 6 0 N
61 -69 B 2 5 0 N
62 -69 G 1 4 0 N
63 -69 G 2 3 0 N
64 -69 C 5 1 1 N
65 -69 G 1 3 0 N
66 -69 G 2 2 0 N
67 -69 G 5 5 0 N
68 -69 B 1 7 0 N
69 -69 1 2 0 0 N
70 -69 G 3 4 0 N
71 -69 0 4 0 0 N
72 -69 G 3 4 0 N
73 -69 G 1 3 0 N
74 -69 G 2 2 0 N
75 -69 G 5 4 0 N
76 -69 0 4 1 0 N
77 -69 G 3 9 0 N
-12 -68 C 0 1 1 N
-11 -68 1 0 0 0 N
-10 -68 0 0 0 0 N
-9 -68 B 0 2 0 N
-8 -68 1 0 1 0 N
-7 -68 0 0 1 0 N
-6 -68 1 0 0 0 N
-5 -68 0 0 0 0 N
-4 -68 B 0 1 0 N
-3 -68 1 0 0 0 N
-2 -68 0 0 0 0 N
-1 -68 B 0 7 0 N
0 -68 0 1 0 0 N
1 -68 C 0 1 1 N
2 -68 1 0 0 0 N
3 -68 0 0 0 0 N
4 -68 B 0 2 0 N
5 -68 1 0 1 0 N
6 -68 0 0 1 0 N
7 -68 1 0 0 0 N
8 -68 0 0 0 0 N
9 -68 B 0 1 0 N
10 -68 1 0 0 0 N
11 -68 0 0 0 0 N
12 -68 B 0 8 0 N
13 -68 0 2 0 0 N
14 -68 G 4 3 0 N
15 -68 G 0 2 0 N
16 -68 1 4 0 0 N
17 -68 C 0 1 1 N
18 -68 1 0 0 0 N
19 -68 0 0 0 0 N
20 -68 B 0 5 0 N
21 -68 1 4 1 0 N
56 -68 C 0 1 1 N
57 -68 1 0 0 0 N
58 -68 0 0 0 0 N
59 -68 B 0 2 0 N
60 -68 1 0 1 0 N
61 -68 0 0 1 0 N
62 -68 1 0 0 0 N
63 -68 0 0 0 0 N
64 -68 B 0 1 0 N
65 -68 1 0 0 0 N
66 -68 0 0 0 0 N
67 -68 B 0 8 0 N
68 -68 0 2 0 0 N
69 -68 G 4 3 0 N
70 -68 G 0 2 0 N
71 -68 1 4 0 0 N
72 -68 C 0 1 1 N
73 -68 1 0 0 0 N
74 -68 0 0 0 0 N
75 -68 B 0 5 0 N
76 -68 1 4 1 0 N
-11 -67 G 5 4 0 N
-10 -67 G 4 5 0 N
-8 -67 G 5 9 0 N
-7 -67 G 4 10 0 N
-6 -67 B 5 7 0 N
-5 -67 B 4 8 0 N
-4 -67 G 2 5 0 N
-3 -67 G 5 4 0 N
-2 -67 G 4 5 0 N
-1 -67 B 5 8 0 N
0 -67 B 1 1 0 N
1 -67 G 2 3 0 N
2 -67 G 5 4 0 N
3 -67 G 4 5 0 N
4 -67 C 2 1 1 N
5 -67 G 5 9 0 N
6 -67 G 4 10 0 N
7 -67 B 5 7 0 N
8 -67 B 4 8 0 N
9 -67 G 2 5 0 N
10 -67 G 5 4 0 N
11 -67 G 4 5 0 N
12 -67 B 2 1 0 N
13 -67 C 1 1 1 N
14 -67 G 2 3 0 N
15 -67 G 5 3 0 N
16 -67 C 4 1 1 N
17 -67 C 2 1 1 N
18 -67 G 5 4 0 N
19 -67 G 4 5 0 N
20 -67 B 5 6 0 N
21 -67 B 4 2 0 N
22 -67 G 2 5 0 N
25 -67 C 2 1 1 N
34 -67 C 1 1 1 N
35 -67 G 2 3 0 N
38 -67 C 2 1 1 N
46 -67 C 2 1 1 N
57 -67 G 5 4 0 N
58 -67 G 4 5 0 N
60 -67 G 5 9 0 N
61 -67 G 4 10 0 N
62 -67 B 5 7 0 N
63 -67 B 4 8 0 N
64 -67 G 2 5 0 N
65 -67 G 5 4 0 N
66 -67 G 4 5 0 N
67 -67 B 2 1 0 N
68 -67 C 1 1 1 N
69 -67 G 2 3 0 N
70 -67 G 5 3 0 N
71 -67 C 4 1 1 N
72 -67 C 2 1 1 N
73 -67 G 5 4 0 N
74 -67 G 4 5 0 N
75 -67 B 5 6 0 N
76 -67 B 4 2 0 N
77 -67 G 2 5 0 N
80 -67 C 2 1 1 N
-8 -66 G 1 2 0 N
-7 -66 0 5 0 0 N
-6 -66 G 3 5 0 N
-5 -66 0 4 0 0 N
-4 -66 G 3 4 0 N
-3 -66 G 1 2 0 N
-2 -66 0 5 0 0 N
-1 -66 G 3 5 0 N
0 -66 1 1 0 0 N
1 -66 G 3 2 0 N
2 -66 G 1 4 0 N
3 -66 1 2 0 0 N
4 -66 G 3 3 0 N
5 -66 G 1 2 0 N
6 -66 0 5 0 0 N
7 -66 G 3 5 0 N
8 -66 0 4 0 0 N
9 -66 G 3 4 0 N
10 -66 G 1 4 0 N
11 -66 1 2 0 0 N
12 -66 G 3 3 0 N
13 -66 1 1 0 0 N
14 -66 G 3 2 0 N
15 -66 G 1 4 0 N
16 -66 1 2 0 0 N
17 -66 G 3 3 0 N
18 -66 G 1 2 0 N
19 -66 0 5 0 0 N
20 -66 G 3 5 0 N
21 -66 0 4 0 0 N
22 -66 G 3 4 0 N
23 -66 G 1 4 0 N
