row_id,center,E,NE,NW,W,SW,SE,occurrences
93,PASS.0,PAR.4,D0.0,PAR.5,D1.4,D0.1,PASS.5,68
94,PASS.0,PAR.4,D0.0,PAR.5,PASS.1,D1.2,PASS.5,48
95,PASS.0,PAR.5,D0.4,D1.1,PASS.5,PAR.4,D0.0,82
96,PASS.0,PAR.5,D1.4,D0.1,PASS.5,PAR.4,D0.0,68
97,PASS.0,PAR.5,PASS.1,D0.2,PASS.2,TRI.4,D0.0,100
98,PASS.0,PAR.5,PASS.1,D1.2,PASS.5,PAR.4,D0.0,48
99,PASS.0,PAR.5,PASS.1,D1.2,PASS.5,TRI.4,D0.0,34
100,PASS.0,PAR.5,PASS.1,D1.3,CAP.2,TRI.4,D0.0,40
101,PASS.0,PASS.4,D0.0,CAP.5,TRI.1,D1.3,TRI.2,100
102,PASS.0,PASS.4,D0.0,TRI.5,PASS.1,D1.3,TRI.2,18
103,PASS.0,TRI.4,D0.0,PAR.5,PASS.1,D0.2,PASS.2,100
104,PASS.0,TRI.4,D0.0,PAR.5,PASS.1,D1.2,PASS.5,34
105,PASS.0,TRI.4,D0.0,PAR.5,PASS.1,D1.3,CAP.2,40
106,PASS.0,TRI.4,D0.0,TRI.5,D0.4,D1.1,PASS.5,18
107,PASS.0,TRI.4,D0.0,TRI.5,D1.4,D0.1,PASS.5,18
108,PASS.0,TRI.4,D0.0,TRI.5,PASS.1,D0.2,PASS.2,18
109,PASS.0,TRI.4,D0.0,TRI.5,PASS.1,D1.2,PASS.5,18
110,PASS.0,TRI.4,D0.0,TRI.5,PASS.1,D1.3,CAP.2,24
111,PASS.0,TRI.5,D0.4,D1.1,PASS.5,TRI.4,D0.0,18
112,PASS.0,TRI.5,D1.4,D0.1,PASS.5,TRI.4,D0.0,18
113,PASS.0,TRI.5,PASS.1,D0.2,PASS.2,TRI.4,D0.0,18
114,PASS.0,TRI.5,PASS.1,D1.2,PASS.5,TRI.4,D0.0,18
115,PASS.0,TRI.5,PASS.1,D1.3,CAP.2,TRI.4,D0.0,24
116,PASS.0,TRI.5,PASS.1,D1.3,TRI.2,PASS.4,D0.0,18
117,TRI.0,CAP.4,D1.1,TRI.3,TRI.1,D0.2,PASS.2,64
118,TRI.0,CAP.4,D1.1,TRI.3,TRI.1,D1.2,PASS.5,110
119,TRI.0,D0.1,TRI.5,TRI.2,TRI.4,TRI.3,D1.4,292
120,TRI.0,D0.2,D1.5,PASS.1,D0.1,TRI.3,TRI.1,18
121,TRI.0,D0.2,PASS.2,CAP.4,D1.1,TRI.3,TRI.1,64
122,TRI.0,D0.2,PASS.2,PASS.1,D0.1,TRI.3,TRI.1,92
123,TRI.0,D0.2,PASS.2,PASS.4,D1.1,TRI.3,TRI.1,118
124,TRI.0,D1.1,TRI.5,TRI.2,TRI.4,TRI.3,D0.4,128
125,TRI.0,D1.2,D0.5,PASS.1,D0.1,TRI.3,TRI.1,18
126,TRI.0,D1.2,PASS.5,CAP.4,D1.1,TRI.3,TRI.1,110
127,TRI.0,PASS.1,D0.1,TRI.3,TRI.1,D0.2,D1.5,18
128,TRI.0,PASS.1,D0.1,TRI.3,TRI.1,D0.2,PASS.2,92
129,TRI.0,PASS.1,D0.1,TRI.3,TRI.1,D1.2,D0.5,18
130,TRI.0,PASS.4,D1.1,TRI.3,TRI.1,D0.2,PASS.2,118
131,TRI.0,TRI.2,TRI.4,TRI.3,D0.4,D1.1,TRI.5,128
132,TRI.0,TRI.2,TRI.4,TRI.3,D1.4,D0.1,TRI.5,292
133,TRI.0,TRI.3,D0.4,D1.1,TRI.5,TRI.2,TRI.4,128
134,TRI.0,TRI.3,D1.4,D0.1,TRI.5,TRI.2,TRI.4,292
135,TRI.0,TRI.3,TRI.1,D0.2,D1.5,PASS.1,D0.1,18
136,TRI.0,TRI.3,TRI.1,D0.2,PASS.2,CAP.4,D1.1,64
137,TRI.0,TRI.3,TRI.1,D0.2,PASS.2,PASS.1,D0.1,92
138,TRI.0,TRI.3,TRI.1,D0.2,PASS.2,PASS.4,D1.1,118
139,TRI.0,TRI.3,TRI.1,D1.2,D0.5,PASS.1,D0.1,18
140,TRI.0,TRI.3,TRI.1,D1.2,PASS.5,CAP.4,D1.1,110
