Collision ledger for two_growth_cases_vertical_90s_geometry_fixed.mp4
Render mapping: 30 fps; video seconds = physical time / (3/2 - 9*sqrt(2)/16).
This is the mapping used by the current geometry-fixed video: first wall event at 1.0 s,
first body-body event at 2.0 s. A listed frame is the first displayed frame at or after
the exact continuous-time event.

frame | video_sec | class | event# | exact_physical_time | contacts
 1674 | 55.789235 |    31 |     61 |             63/5 + 149/10*sqrt2 | P1:wall-S
 1676 | 55.835530 |     8 |     64 |             229/18 + 89/6*sqrt2 | P1:wall-S
 1688 | 56.246620 |     8 |     65 |           341/26 + 383/26*sqrt2 | P0-P2:face-W
 1694 | 56.457528 |    31 |     62 |               40/3 + 44/3*sqrt2 | P0:wall-N
 1743 | 58.080404 |     8 |     66 |           137/10 + 151/10*sqrt2 | P0:wall-E
 1749 | 58.286292 |    31 |     63 |               67/5 + 77/5*sqrt2 | P0-P1:face-SW
 1754 | 58.443651 |    31 |     64 |                 13 + 63/4*sqrt2 | P2:wall-N
 1756 | 58.526847 |     8 |     67 |           515/38 + 585/38*sqrt2 | P0-P1:face-SW
 1764 | 58.781049 |     8 |     68 |               29/2 + 89/6*sqrt2 | P2:wall-N
 1764 | 58.767172 |    31 |     65 |             41/3 + 185/12*sqrt2 | P1:wall-W
 1771 | 59.022896 |     8 |     69 |           241/18 + 283/18*sqrt2 | P0:wall-E
 1774 | 59.100505 |     8 |     70 |               55/4 + 31/2*sqrt2 | P2:wall-W
 1793 | 59.734007 |     8 |     71 |           407/30 + 159/10*sqrt2 | P0:wall-N
 1831 | 61.029437 |    31 |     66 |               27/2 + 33/2*sqrt2 | P0:wall-N
 1849 | 61.632566 |     8 |     72 |           713/50 + 811/50*sqrt2 | P0-P2:face-W
 1859 | 61.943146 |     8 |     73 |           149/10 + 159/10*sqrt2 | P1-P2:face-N
 1884 | 62.767172 |    31 |     67 |             44/3 + 197/12*sqrt2 | P1:wall-E
 1894 | 63.100505 |     8 |     74 |               59/4 + 33/2*sqrt2 | P0:wall-E
 1894 | 63.126494 |    31 |     68 |             71/5 + 169/10*sqrt2 | P0-P1:face-SE
 1931 | 64.352203 |     8 |     75 |           389/26 + 439/26*sqrt2 | P1:wall-W
 1936 | 64.524531 |    31 |     69 |              44/3 + 103/6*sqrt2 | P0:wall-N
 1969 | 65.623550 |    31 |     70 |                 15 + 87/5*sqrt2 | P1:wall-S
 1983 | 66.080404 |     8 |     76 |           157/10 + 171/10*sqrt2 | P0-P1:face-NW
 1984 | 66.112566 |     8 |     77 |           769/50 + 867/50*sqrt2 | P0:wall-S
 1985 | 66.134007 |     8 |     78 |               91/6 + 35/2*sqrt2 | P0-P1:face-NW; P2:wall-W
 2015 | 67.154921 |     8 |     79 |             31/2 + 177/10*sqrt2 | P1-P2:face-N
 2041 | 68.019625 |     8 |     80 |              95/6 + 107/6*sqrt2 | P1:wall-W
 2053 | 68.427782 |     8 |     81 |           595/38 + 689/38*sqrt2 | P2:wall-N
 2061 | 68.686292 |    31 |     71 |                   16 + 18*sqrt2 | P0-P2:face-S
 2073 | 69.076816 |    31 |     72 |                16 + 109/6*sqrt2 | P0:wall-W
 2096 | 69.842072 |     8 |     82 |             95/6 + 335/18*sqrt2 | P1-P2:face-N
 2096 | 69.857864 |    31 |     73 |                 16 + 37/2*sqrt2 | P2:wall-S
 2103 | 70.092179 |    31 |     74 |                 16 + 93/5*sqrt2 | P0-P2:face-S
 2113 | 70.423550 |    31 |     75 |               81/5 + 93/5*sqrt2 | P1:wall-N
 2114 | 70.443651 |    31 |     76 |                 16 + 75/4*sqrt2 | P2:wall-S
 2145 | 71.467340 |     8 |     83 |              33/2 + 113/6*sqrt2 | P0:wall-E
 2147 | 71.548220 |    31 |     77 |               50/3 + 75/4*sqrt2 | P0-P1:face-NE
 2154 | 71.796203 |     8 |     84 |             33/2 + 721/38*sqrt2 | P1:wall-S
 2169 | 72.272078 |    31 |     78 |                 67/4 + 19*sqrt2 | P0-P2:face-SW
 2171 | 72.356229 |     8 |     85 |           301/18 + 343/18*sqrt2 | P0-P2:face-W
 2177 | 72.564971 |    31 |     79 |              67/4 + 153/8*sqrt2 | P2:wall-W
 2198 | 73.245118 |     8 |     86 |           305/18 + 347/18*sqrt2 | P0:wall-E
 2210 | 73.663752 |    31 |     80 |             83/5 + 197/10*sqrt2 | P1:wall-E
 2224 | 74.100505 |    31 |     81 |               35/2 + 77/4*sqrt2 | P2:wall-S
 2238 | 74.591534 |     8 |     87 |              33/2 + 121/6*sqrt2 | P0-P1:face-S
 2255 | 75.164624 |     8 |     88 |           659/38 + 753/38*sqrt2 | P0:wall-N
 2261 | 75.342479 |     8 |     89 |         1021/58 + 1143/58*sqrt2 | P0-P1:face-S
 2271 | 75.680404 |     8 |     90 |             181/10 + 39/2*sqrt2 | P0:wall-N
 2281 | 76.019625 |     8 |     91 |             107/6 + 119/6*sqrt2 | P1:wall-E
 2316 | 77.171573 |    31 |     82 |                 19 + 39/2*sqrt2 | P1:wall-N
 2354 | 78.463752 |    31 |     83 |             89/5 + 209/10*sqrt2 | P1:wall-W
 2356 | 78.533045 |     8 |     92 |           691/38 + 785/38*sqrt2 | P1:wall-S
 2357 | 78.564971 |    31 |     84 |              73/4 + 165/8*sqrt2 | P2:wall-E
 2358 | 78.578451 |     8 |     93 |           329/18 + 371/18*sqrt2 | P2:wall-W
 2383 | 79.419962 |    31 |     85 |                18 + 127/6*sqrt2 | P0-P1:face-NW
 2385 | 79.467340 |     8 |     94 |              37/2 + 125/6*sqrt2 | P0-P2:face-W
 2393 | 79.756272 |     8 |     95 |         1085/58 + 1207/58*sqrt2 | P0-P1:face-S
 2394 | 79.776984 |    31 |     86 |             55/3 + 253/12*sqrt2 | P0-P2:face-SE
 2405 | 80.134007 |    31 |     87 |                 56/3 + 21*sqrt2 | P0-P1:face-NW
 2409 | 80.298066 |    31 |     88 |              91/5 + 107/5*sqrt2 | P1:wall-N
 2411 | 80.356229 |     8 |     96 |           337/18 + 379/18*sqrt2 | P2:wall-W
 2417 | 80.544156 |    31 |     89 |                 35/2 + 22*sqrt2 | P0-P1:face-NW
 2458 | 81.901466 |     8 |     97 |             723/38 + 43/2*sqrt2 | P0:wall-N
 2463 | 82.080404 |     8 |     98 |           197/10 + 211/10*sqrt2 | P1:wall-S
 2467 | 82.201010 |    31 |     90 |                 37/2 + 22*sqrt2 | P2:wall-E
 2475 | 82.477153 |    31 |     91 |                 56/3 + 22*sqrt2 | P1:wall-W
 2479 | 82.615224 |    31 |     92 |                 75/4 + 22*sqrt2 | P2:wall-S
 2521 | 84.019625 |     8 |     99 |             119/6 + 131/6*sqrt2 | P1:wall-W
 2522 | 84.039250 |    31 |     93 |               56/3 + 68/3*sqrt2 | P0:wall-E
 2534 | 84.435325 |    31 |     94 |                19 + 113/5*sqrt2 | P0-P2:face-S
 2568 | 85.566696 |    31 |     95 |              97/5 + 114/5*sqrt2 | P1-P2:face-E
 2571 | 85.682086 |     8 |    100 |             41/2 + 309/14*sqrt2 | P1-P2:face-NE
 2571 | 85.689562 |     8 |    101 |           361/18 + 403/18*sqrt2 | P0:wall-E
 2599 | 86.615224 |    31 |     96 |                 79/4 + 23*sqrt2 | P0:wall-N
 2609 | 86.954097 |     8 |    102 |           771/38 + 865/38*sqrt2 | P0:wall-S
 2635 | 87.810486 |    31 |     97 |                 20 + 70/3*sqrt2 | P2:wall-E
 2645 | 88.134007 |    31 |     98 |                 62/3 + 23*sqrt2 | P1:wall-S
 2661 | 88.686292 |     8 |    103 |                   21 + 23*sqrt2 | P2:wall-E
 2666 | 88.833354 |     8 |    104 |           291/14 + 325/14*sqrt2 | P0-P1:face-W
 2681 | 89.338545 |     8 |    105 |           709/34 + 795/34*sqrt2 | P0-P2:face-NE
 2698 | 89.908117 |    31 |     99 |              41/2 + 191/8*sqrt2 | P0-P1:face-SW

Summary
Class 8: 105 event batches; 39 batches containing a body-body contact.
Class 31: 99 event batches; 31 batches containing a body-body contact.
Total listed batches: 204
