bit_index,row_id,keep_mask,ambiguous_outputs
656,10,16,D0.1|D1.1
657,10,17,D0.5|D1.5
658,10,18,D0.1|D1.1
659,10,19,D0.4|D1.4
664,10,24,D0.1|D1.1
665,10,25,D0.5|D1.5
666,10,26,D0.1|D1.1
667,10,27,D0.1|D1.1
704,11,0,CAP.0|D0.0|D1.0|LEAF.0|PASS.0
705,11,1,D0.5|D1.5|LEAF.5
706,11,2,D0.4|D1.4|LEAF.4
707,11,3,D0.4|D1.4
712,11,8,D0.2|D1.2|LEAF.2
713,11,9,D0.5|D1.5
714,11,10,D0.2|D1.2|LEAF.2
715,11,11,D0.2|D1.2
720,11,16,D0.1|D1.1|PASS.1
721,11,17,D0.5|D1.5
722,11,18,D0.1|D1.1
723,11,19,D0.4|D1.4
728,11,24,D0.1|D1.1
729,11,25,D0.5|D1.5
730,11,26,D0.1|D1.1
731,11,27,D0.4|D1.4
768,12,0,CAP.0|D0.0|D1.0|LEAF.0|PASS.0
769,12,1,D0.5|D1.5|LEAF.5
770,12,2,D0.4|D1.4|LEAF.4
771,12,3,D0.4|D1.4
776,12,8,D0.2|D1.2
777,12,9,D0.2|D1.2
778,12,10,D0.2|D1.2
779,12,11,D0.2|D1.2
784,12,16,D0.1|D1.1
785,12,17,D0.5|D1.5
786,12,18,D0.1|D1.1
787,12,19,D0.4|D1.4
792,12,24,D0.1|D1.1
793,12,25,D0.5|D1.5
794,12,26,D0.1|D1.1
795,12,27,D0.1|D1.1
832,13,0,CAP.0|D0.0|D1.0|LEAF.0|PASS.0
833,13,1,D0.5|D1.5|PASS.5
836,13,4,D0.3|D1.3|LEAF.3
837,13,5,D0.3|D1.3
840,13,8,D0.2|D1.2|LEAF.2
841,13,9,D0.2|D1.2
844,13,12,D0.2|D1.2
845,13,13,D0.2|D1.2
864,13,32,D0.0|D1.0|LEAF.0
865,13,33,D0.5|D1.5
868,13,36,D0.3|D1.3
869,13,37,D0.3|D1.3
872,13,40,D0.0|D1.0|LEAF.0
873,13,41,D0.5|D1.5
876,13,44,D0.0|D1.0
877,13,45,D0.2|D1.2
896,14,0,CAP.0|D0.0|D1.0|LEAF.0|PASS.0
897,14,1,D0.5|D1.5|PASS.5
900,14,4,D0.3|D1.3
901,14,5,D0.3|D1.3
904,14,8,CAP.2|D0.2|D1.2|LEAF.2|PASS.2
905,14,9,D0.5|D1.5
908,14,12,D0.2|D1.2
909,14,13,D0.2|D1.2
912,14,16,CAP.1|D0.1|PASS.1
920,14,24,CAP.1|D0.1|PASS.1
928,14,32,D0.0|D1.0|LEAF.0
929,14,33,D0.5|D1.5
932,14,36,D0.3|D1.3
933,14,37,D0.3|D1.3
936,14,40,D0.0|D1.0
937,14,41,D0.5|D1.5
940,14,44,D0.0|D1.0
941,14,45,D0.2|D1.2
960,15,0,CAP.0|D0.0|D1.0|LEAF.0|PASS.0
962,15,2,D0.4|D1.4|LEAF.4
964,15,4,D0.3|D1.3|PASS.3
966,15,6,D0.3|D1.3
976,15,16,D0.1|D1.1|LEAF.1
978,15,18,D0.4|D1.4
980,15,20,D0.1|D1.1
982,15,22,D0.1|D1.1
992,15,32,D0.0|D1.0|LEAF.0
994,15,34,D0.4|D1.4|LEAF.4
996,15,36,D0.3|D1.3
998,15,38,D0.3|D1.3
1008,15,48,D0.0|D1.0
1010,15,50,D0.4|D1.4
1012,15,52,D0.0|D1.0
1014,15,54,D0.0|D1.0
1024,16,0,CAP.0|D0.0|D1.0|LEAF.0|PASS.0
1026,16,2,D0.4|D1.4
1028,16,4,D0.3|D1.3
1030,16,6,D0.3|D1.3
1040,16,16,D0.1|D1.1|LEAF.1
1042,16,18,D0.4|D1.4
1044,16,20,D0.1|D1.1
1046,16,22,D0.1|D1.1
1056,16,32,D0.0|D1.0|LEAF.0
1058,16,34,D0.4|D1.4
1060,16,36,D0.3|D1.3
1062,16,38,D0.3|D1.3
1072,16,48,D0.0|D1.0
1074,16,50,D0.4|D1.4
1076,16,52,D0.0|D1.0
1078,16,54,D0.3|D1.3
1088,17,0,CAP.0|D0.0|D1.0|LEAF.0|PASS.0
1090,17,2,D0.4|D1.4
1092,17,4,D0.3|D1.3
1094,17,6,D0.3|D1.3
1104,17,16,D0.1|D1.1|LEAF.1
1106,17,18,D0.4|D1.4
1108,17,20,D0.1|D1.1
1110,17,22,D0.1|D1.1
1120,17,32,D0.0|D1.0|LEAF.0
1122,17,34,D0.4|D1.4
1124,17,36,D0.3|D1.3
1126,17,38,D0.3|D1.3
1136,17,48,D0.0|D1.0
1138,17,50,D0.4|D1.4
1140,17,52,D0.0|D1.0
1142,17,54,D0.3|D1.3
1152,18,0,CAP.0|D0.0|D1.0|LEAF.0|PASS.0
1153,18,1,D0.5|D1.5
1154,18,2,CAP.4|D0.4|D1.4|LEAF.4|PASS.4
1155,18,3,D0.4|D1.4
1156,18,4,CAP.3|D0.3|PASS.3
1158,18,6,CAP.3|D0.3|PASS.3
1160,18,8,D0.2|D1.2|LEAF.2
1161,18,9,D0.5|D1.5
1162,18,10,D0.2|D1.2
1163,18,11,D0.2|D1.2
