bit_index,row_id,keep_mask,output
2959,46,15,LEAF.2
2961,46,17,LEAF.5
2962,46,18,LEAF.4
2963,46,19,LEAF.4
2965,46,21,LEAF.5
2966,46,22,LEAF.1
2967,46,23,LEAF.1
2969,46,25,LEAF.5
2970,46,26,LEAF.1
2971,46,27,LEAF.1
2973,46,29,LEAF.5
2974,46,30,LEAF.1
2975,46,31,LEAF.1
2977,46,33,LEAF.5
2978,46,34,LEAF.4
2979,46,35,LEAF.4
2981,46,37,LEAF.3
2982,46,38,LEAF.3
2983,46,39,LEAF.3
2985,46,41,LEAF.5
2986,46,42,LEAF.4
2987,46,43,LEAF.4
2989,46,45,LEAF.5
2990,46,46,LEAF.2
2991,46,47,LEAF.2
2993,46,49,LEAF.5
2994,46,50,LEAF.4
2995,46,51,LEAF.4
2997,46,53,LEAF.5
2998,46,54,LEAF.3
2999,46,55,LEAF.3
3001,46,57,LEAF.5
3002,46,58,LEAF.4
3003,46,59,LEAF.4
3005,46,61,LEAF.5
3006,46,62,LEAF.0
3007,46,63,LEAF.4
3013,47,5,LEAF.3
3014,47,6,LEAF.3
3015,47,7,LEAF.3
3017,47,9,LEAF.5
3018,47,10,LEAF.2
3019,47,11,LEAF.2
3021,47,13,LEAF.2
3022,47,14,LEAF.2
3023,47,15,LEAF.2
3025,47,17,LEAF.5
3026,47,18,LEAF.4
3027,47,19,LEAF.4
3029,47,21,LEAF.1
3030,47,22,LEAF.1
3031,47,23,LEAF.1
3033,47,25,LEAF.5
3034,47,26,LEAF.1
3035,47,27,LEAF.1
3037,47,29,LEAF.1
3038,47,30,LEAF.1
3039,47,31,LEAF.1
3041,47,33,LEAF.5
3042,47,34,LEAF.4
3043,47,35,LEAF.4
3045,47,37,LEAF.3
3046,47,38,LEAF.3
3047,47,39,LEAF.3
3049,47,41,LEAF.5
3050,47,42,LEAF.4
3051,47,43,LEAF.4
3053,47,45,LEAF.2
3054,47,46,LEAF.2
3055,47,47,LEAF.2
3057,47,49,LEAF.5
3058,47,50,LEAF.4
3059,47,51,LEAF.4
3061,47,53,LEAF.3
3062,47,54,LEAF.3
3063,47,55,LEAF.3
3065,47,57,LEAF.5
3066,47,58,LEAF.4
3067,47,59,LEAF.4
3069,47,61,LEAF.5
3070,47,62,LEAF.0
3071,47,63,LEAF.0
3077,48,5,LEAF.3
3078,48,6,LEAF.3
3079,48,7,LEAF.3
3081,48,9,LEAF.2
3082,48,10,LEAF.2
3083,48,11,LEAF.2
3085,48,13,LEAF.2
3086,48,14,LEAF.2
3087,48,15,LEAF.2
3089,48,17,LEAF.5
3090,48,18,LEAF.4
3091,48,19,LEAF.4
3093,48,21,LEAF.1
3094,48,22,LEAF.1
3095,48,23,LEAF.1
3097,48,25,LEAF.5
3098,48,26,LEAF.1
3099,48,27,LEAF.1
3101,48,29,LEAF.1
3102,48,30,LEAF.1
3103,48,31,LEAF.1
3105,48,33,LEAF.5
3106,48,34,LEAF.4
3107,48,35,LEAF.4
3109,48,37,LEAF.3
3110,48,38,LEAF.3
3111,48,39,LEAF.3
3113,48,41,LEAF.5
3114,48,42,LEAF.4
3115,48,43,LEAF.4
3117,48,45,LEAF.2
3118,48,46,LEAF.2
3119,48,47,LEAF.2
3121,48,49,LEAF.5
3122,48,50,LEAF.4
3123,48,51,LEAF.4
3125,48,53,LEAF.3
3126,48,54,LEAF.3
3127,48,55,LEAF.3
3129,48,57,LEAF.5
3130,48,58,LEAF.4
3131,48,59,LEAF.4
3133,48,61,LEAF.5
3134,48,62,LEAF.0
3135,48,63,LEAF.0
3139,49,3,LEAF.4
