batch_index,time_a,time_b,pair_a,pair_b,face_a,mixed_with_wall,batch_events
925,199536616732285/213760618662,190477362675607/427521237324,I1,O0,NW,false,pair:I1:O0:NW
929,332774306615095/353745880946,317493489855365/707491761892,I1,I2,NE,false,pair:I1:I2:NE
932,507935506699877/536739825878,479670425497295/1073479651756,I1,O0,N,false,pair:I1:O0:N
936,781892516443877/828077490134,751076366068815/1656154980268,I0,O0,NW,false,pair:I0:O0:NW
939,873312064130511/917105370434,831796141398605/1834210740868,I1,I2,E,false,pair:I1:I2:E
942,208502285778781/217989146598,197387893337015/435978293196,I1,I3,S,false,pair:I1:I3:S
949,1104772475877825/1152345811358,1059049070182499/2304691622716,I0,I1,SW,false,pair:I0:I1:SW
950,1227218648567797/1272067780534,1162810631459199/2544135561068,I1,I3,S,false,pair:I1:I3:S
952,754225936783291/783208394474,2162368588519091/4699250366844,I2,I3,N,false,pair:I2:I3:N
955,240825606283073/248758797982,685048649698985/1492552787892,I1,O0,N,false,pair:I1:O0:N
956,1231189708681535/1273503247458,1176840355490461/2547006494916,I0,I3,S,false,pair:I0:I3:S
965,507874224046777/517308989614,482013865943371/1034617979228,I0,O0,N,false,pair:I0:O0:N
966,409324594623253/414171901302,383106852896479/828343802604,I2,O0,E,false,pair:I2:O0:E
969,261495679439781/265722725974,249217548756623/531445451948,I2,O0,N,false,pair:I2:O0:N
977,2052274464710879/2070326881570,1962225398978429/4140653763140,I1,O0,NE,false,pair:I1:O0:NE
980,259667248460211/261086607866,248055756204153/522173215732,I0,O0,NW,false,pair:I0:O0:NW
982,1207066621629455/1207656316098,1139479799019277/2415312632196,I1,O0,NE,false,pair:I1:O0:NE
984,2149554041950891/2143872014090,2038358764412513/4287744028180,I0,I2,NE,false,pair:I0:I2:NE
989,261259317981477/260148591446,3246274425004995/6763863377596,I3,O0,NW,false,pair:I3:O0:NW
990,67751374760711/66985343186,191346302404703/401912059116,I0,I1,E,false,pair:I0:I1:E
993,136442798501141/135424078198,392630180049565/812544469188,I2,I3,N,false,pair:I2:I3:N
996,2321143572470265/2296459310126,2213959568738827/4592918620252,I1,I3,SE,false,pair:I1:I3:SE
998,1609610428553581/1587083941830,509048221425229/1058055961220,I0,O0,NW,false,pair:I0:O0:NW
999,2770786099521161/2728250023182,874701856257513/1818833348788,I2,I3,N,false,pair:I2:I3:N
1002,1152360503383391/1137947507746,1105166906888445/2275895015492,I0,I1,E,false,pair:I0:I1:E
1006,260502683689903/255810481474,248354429354253/511620962948,I1,I3,S,false,pair:I1:I3:S
1007,3825381803263245/3753767577734,3640579198171079/7507535155468,I2,O0,N,false,pair:I2:O0:N
1009,10271737377147/10021355882,1446592970525349/2986364052836,I0,I1,SE,false,pair:I0:I1:SE
1012,302942198847611/296013139050,96807418578459/197342092700,I0,I2,SW,false,pair:I0:I2:SW
1016,10033041628429/9825190022,927220366184153/1866786104180,I0,I1,NE,false,pair:I0:I1:NE
1018,993905883975889/968590036350,962459354818451/1937180072700,I3,O0,SE,false,pair:I3:O0:SE
1021,6110586902546573/5911986709894,5823616035149895/11823973419788,I2,O0,NW,false,pair:I2:O0:NW
1022,662335035400179/636510269818,3106893247314461/6365102698180,I3,O0,E,false,pair:I3:O0:E
1023,5733727187259255/5533294152434,5455790669522501/11066588304868,I0,I3,E,false,pair:I0:I3:E
