row_id,center,E,NE,NW,W,SW,SE,occurrences
83,PASS.0,LEAF.4,D0.0,LEAF.5,PASS.1,D1.2,PASS.5,128
84,PASS.0,LEAF.4,D0.0,LEAF.5,PASS.1,D1.3,CAP.2,72
85,PASS.0,LEAF.5,D0.4,D1.1,PASS.5,LEAF.4,D0.0,128
86,PASS.0,LEAF.5,D1.4,D0.1,PASS.5,LEAF.4,D0.0,128
87,PASS.0,LEAF.5,PASS.1,D0.2,PASS.2,LEAF.4,D0.0,128
88,PASS.0,LEAF.5,PASS.1,D1.2,PASS.5,LEAF.4,D0.0,128
89,PASS.0,LEAF.5,PASS.1,D1.3,CAP.2,LEAF.4,D0.0,72
90,PASS.0,LEAF.5,PASS.1,D1.3,LEAF.2,PASS.4,D0.0,18
91,PASS.0,PASS.4,D0.0,CAP.5,LEAF.1,D1.3,LEAF.2,110
92,PASS.0,PASS.4,D0.0,LEAF.5,PASS.1,D1.3,LEAF.2,18
