class_id	depth	width	labels_flat
427	2	4	0000001322052240
428	2	4	0000001322402205
429	2	4	0000001322402250
430	2	4	0000001322452200
431	2	4	0000001322502204
432	2	4	0000001322502240
433	2	4	0000001322542200
434	2	4	0000001324000500
435	2	4	0000001324005000
436	2	4	0000001324550055
437	2	4	0000001325000400
438	2	4	0000001325004000
439	2	4	0000001325440044
440	2	4	0000001340002500
441	2	4	0000001340005200
442	2	4	0000001340220522
443	2	4	0000001340225022
444	2	4	0000001340550255
445	2	4	0000001340552055
446	2	4	0000001342000500
447	2	4	0000001342005000
448	2	4	0000001342550055
449	2	4	0000001344004425
450	2	4	0000001344004452
451	2	4	0000001344024405
452	2	4	0000001344024450
453	2	4	0000001344054402
454	2	4	0000001344054420
455	2	4	0000001344204405
456	2	4	0000001344204450
457	2	4	0000001344254400
458	2	4	0000001344504402
459	2	4	0000001344504420
460	2	4	0000001344524400
461	2	4	0000001345000200
462	2	4	0000001345002000
463	2	4	0000001345220022
464	2	4	0000001350002400
465	2	4	0000001350004200
466	2	4	0000001350220422
467	2	4	0000001350224022
468	2	4	0000001350440244
469	2	4	0000001350442044
470	2	4	0000001352000400
471	2	4	0000001352004000
472	2	4	0000001352440044
473	2	4	0000001354000200
474	2	4	0000001354002000
475	2	4	0000001354220022
476	2	4	0000001355005524
477	2	4	0000001355005542
478	2	4	0000001355025504
479	2	4	0000001355025540
480	2	4	0000001355045502
481	2	4	0000001355045520
482	2	4	0000001355205504
483	2	4	0000001355205540
484	2	4	0000001355245500
485	2	4	0000001355405502
486	2	4	0000001355405520
487	2	4	0000001355425500
488	2	4	0000123400550055
489	2	4	0000123500440044
490	2	4	0000123544004400
491	2	4	0000124300550055
492	2	4	0000124355005500
493	2	4	0000124500330033
494	2	4	0000125300440044
495	2	4	0000125344004400
496	2	4	0000132400550055
497	2	4	0000132500440044
498	2	4	0000132544004400
499	2	4	0000135200440044
500	2	4	0001000200334533
501	2	4	0001000200335433
502	2	4	0001000200443544
503	2	4	0001000200445344
504	2	4	0001000200554355
505	2	4	0001000203004500
506	2	4	0001000203005400
507	2	4	0001000203445044
508	2	4	0001000203554055
509	2	4	0001000204003500
510	2	4	0001000204005300
511	2	4	0001000204335033
512	2	4	0001000204553055
513	2	4	0001000205003400
514	2	4	0001000205004300
515	2	4	0001000205334033
516	2	4	0001000205443044
517	2	4	0001000230004500
518	2	4	0001000230005400
519	2	4	0001000230440544
520	2	4	0001000230445044
521	2	4	0001000230550455
522	2	4	0001000230554055
523	2	4	0001000233003345
524	2	4	0001000233003354
525	2	4	0001000233043305
526	2	4	0001000233043350
527	2	4	0001000233053304
528	2	4	0001000233053340
529	2	4	0001000233403305
530	2	4	0001000233403350
531	2	4	0001000233453300
532	2	4	0001000233503304
533	2	4	0001000233503340
534	2	4	0001000233543300
535	2	4	0001000234000500
536	2	4	0001000234005000
537	2	4	0001000234550055
538	2	4	0001000235000400
539	2	4	0001000235004000
540	2	4	0001000235440044
541	2	4	0001000240003500
542	2	4	0001000240005300
543	2	4	0001000240330533
544	2	4	0001000240335033
545	2	4	0001000240550355
546	2	4	0001000240553055
547	2	4	0001000243000500
548	2	4	0001000243005000
549	2	4	0001000243550055
550	2	4	0001000244004435
551	2	4	0001000244004453
552	2	4	0001000244034405
553	2	4	0001000244034450
554	2	4	0001000244054403
555	2	4	0001000244054430
556	2	4	0001000244304405
557	2	4	0001000244304450
558	2	4	0001000244354400
559	2	4	0001000244504403
560	2	4	0001000244504430
561	2	4	0001000244534400
562	2	4	0001000245000300
563	2	4	0001000245003000
564	2	4	0001000245330033
565	2	4	0001000250003400
566	2	4	0001000250004300
567	2	4	0001000250330433
568	2	4	0001000250334033
569	2	4	0001000250440344
570	2	4	0001000250443044
571	2	4	0001000253000400
572	2	4	0001000253004000
573	2	4	0001000253440044
574	2	4	0001000254000300
575	2	4	0001000254003000
576	2	4	0001000254330033
577	2	4	0001000255005534
578	2	4	0001000255005543
579	2	4	0001000255035504
580	2	4	0001000255035540
581	2	4	0001000255045503
582	2	4	0001000255045530
583	2	4	0001000255305504
584	2	4	0001000255305540
585	2	4	0001000255345500
586	2	4	0001000255405503
587	2	4	0001000255405530
588	2	4	0001000255435500
589	2	4	0001000300442544
590	2	4	0001000300445244
591	2	4	0001000300554255
592	2	4	0001000302004500
593	2	4	0001000302005400
594	2	4	0001000302445044
595	2	4	0001000302554055
596	2	4	0001000304002500
597	2	4	0001000304005200
598	2	4	0001000304225022
599	2	4	0001000304552055
600	2	4	0001000305002400
601	2	4	0001000305004200
602	2	4	0001000305224022
603	2	4	0001000305442044
604	2	4	0001000320004500
605	2	4	0001000320005400
606	2	4	0001000320440544
607	2	4	0001000320445044
608	2	4	0001000320550455
609	2	4	0001000320554055
610	2	4	0001000322002245
611	2	4	0001000322002254
612	2	4	0001000322042205
613	2	4	0001000322042250
614	2	4	0001000322052204
615	2	4	0001000322052240
616	2	4	0001000322402205
617	2	4	0001000322402250
618	2	4	0001000322452200
619	2	4	0001000322502204
620	2	4	0001000322502240
621	2	4	0001000322542200
622	2	4	0001000324000500
623	2	4	0001000324005000
624	2	4	0001000324550055
625	2	4	0001000325000400
626	2	4	0001000325004000
627	2	4	0001000325440044
628	2	4	0001000340002500
629	2	4	0001000340005200
630	2	4	0001000340220522
631	2	4	0001000340225022
632	2	4	0001000340550255
633	2	4	0001000340552055
634	2	4	0001000342000500
635	2	4	0001000342005000
636	2	4	0001000342550055
637	2	4	0001000344004425
638	2	4	0001000344004452
639	2	4	0001000344024405
640	2	4	0001000344024450
641	2	4	0001000344054402
642	2	4	0001000344054420
643	2	4	0001000344204405
644	2	4	0001000344204450
645	2	4	0001000344254400
646	2	4	0001000344504402
647	2	4	0001000344504420
648	2	4	0001000344524400
649	2	4	0001000345000200
650	2	4	0001000345002000
651	2	4	0001000345220022
652	2	4	0001000350002400
653	2	4	0001000350004200
654	2	4	0001000350220422
655	2	4	0001000350224022
656	2	4	0001000350440244
657	2	4	0001000350442044
658	2	4	0001000352000400
659	2	4	0001000352004000
660	2	4	0001000352440044
661	2	4	0001000354000200
662	2	4	0001000354002000
663	2	4	0001000354220022
664	2	4	0001000355005524
665	2	4	0001000355005542
666	2	4	0001000355025504
667	2	4	0001000355025540
668	2	4	0001000355045502
669	2	4	0001000355045520
670	2	4	0001000355205504
671	2	4	0001000355205540
672	2	4	0001000355245500
673	2	4	0001000355405502
674	2	4	0001000355405520
675	2	4	0001000355425500
676	2	4	0001002003004500
677	2	4	0001002003005400
678	2	4	0001002003445044
679	2	4	0001002003554055
680	2	4	0001002004003500
681	2	4	0001002004005300
682	2	4	0001002004335033
683	2	4	0001002004553055
684	2	4	0001002005003400
685	2	4	0001002005004300
686	2	4	0001002005443044
687	2	4	0001002030004500
688	2	4	0001002030005400
689	2	4	0001002030440544
690	2	4	0001002030445044
691	2	4	0001002030550455
692	2	4	0001002030554055
693	2	4	0001002033003345
694	2	4	0001002033003354
695	2	4	0001002033043305
696	2	4	0001002033043350
697	2	4	0001002033053304
698	2	4	0001002033053340
699	2	4	0001002033403305
700	2	4	0001002033403350
701	2	4	0001002033453300
702	2	4	0001002033503304
703	2	4	0001002033503340
704	2	4	0001002033543300
705	2	4	0001002034000500
706	2	4	0001002034550055
707	2	4	0001002035000400
708	2	4	0001002035440044
709	2	4	0001002040003500
710	2	4	0001002040330533
711	2	4	0001002040335033
712	2	4	0001002040550355
713	2	4	0001002040553055
714	2	4	0001002043000500
715	2	4	0001002043550055
716	2	4	0001002044004435
717	2	4	0001002044004453
718	2	4	0001002044034405
719	2	4	0001002044034450
720	2	4	0001002044054403
721	2	4	0001002044054430
722	2	4	0001002044304405
723	2	4	0001002044304450
724	2	4	0001002044354400
725	2	4	0001002044504403
726	2	4	0001002044504430
727	2	4	0001002044534400
728	2	4	0001002045330033
729	2	4	0001002050330433
730	2	4	0001002050334033
731	2	4	0001002050440344
732	2	4	0001002050443044
733	2	4	0001002053440044
734	2	4	0001002054330033
735	2	4	0001002055005534
736	2	4	0001002055005543
737	2	4	0001002055035504
738	2	4	0001002055035540
739	2	4	0001002055045503
740	2	4	0001002055045530
741	2	4	0001002055305504
742	2	4	0001002055305540
743	2	4	0001002055345500
744	2	4	0001002055405503
745	2	4	0001002055405530
746	2	4	0001002055435500
747	2	4	0001002340000500
748	2	4	0001002344554455
749	2	4	0001002350000400
750	2	4	0001002355445544
751	2	4	0001002403005000
752	2	4	0001002405003000
753	2	4	0001002430000500
754	2	4	0001002433553355
755	2	4	0001002450000300
756	2	4	0001002455335533
757	2	4	0001002530000400
758	2	4	0001002533443344
759	2	4	0001002540000300
760	2	4	0001002544334433
761	2	4	0001003002004500
762	2	4	0001003002005400
763	2	4	0001003002445044
764	2	4	0001003002554055
765	2	4	0001003004002500
766	2	4	0001003005002400
767	2	4	0001003005442044
768	2	4	0001003020004500
769	2	4	0001003020005400
