bit_index,row_id,keep_mask,output
498,7,50,D.4
499,7,51,D.4
500,7,52,D.0
501,7,53,D.5
502,7,54,D.0
503,7,55,D.3
504,7,56,D.0
505,7,57,D.5
506,7,58,D.0
507,7,59,D.4
508,7,60,D.0
509,7,61,D.5
510,7,62,D.0
511,7,63,D.5
514,8,2,D.4
515,8,3,D.4
517,8,5,D.3
518,8,6,D.3
519,8,7,D.3
522,8,10,D.2
523,8,11,D.2
524,8,12,D.2
525,8,13,D.2
526,8,14,D.2
527,8,15,D.2
529,8,17,D.5
530,8,18,D.1
531,8,19,D.4
533,8,21,D.3
534,8,22,D.1
535,8,23,D.3
536,8,24,D.1
537,8,25,D.5
538,8,26,D.1
539,8,27,D.1
540,8,28,D.1
541,8,29,D.1
542,8,30,D.1
543,8,31,D.1
545,8,33,D.5
546,8,34,D.4
547,8,35,D.4
548,8,36,D.3
549,8,37,D.3
550,8,38,D.3
551,8,39,D.3
553,8,41,D.5
554,8,42,D.0
555,8,43,D.2
556,8,44,D.0
557,8,45,D.2
558,8,46,D.0
559,8,47,D.2
560,8,48,D.0
561,8,49,D.5
562,8,50,D.4
563,8,51,D.4
564,8,52,D.0
565,8,53,D.3
566,8,54,D.0
567,8,55,D.3
568,8,56,D.0
569,8,57,D.5
570,8,58,D.0
571,8,59,D.4
572,8,60,D.0
573,8,61,D.5
574,8,62,D.0
575,8,63,D.5
577,9,1,H.5
579,9,3,H.4
581,9,5,H.3
582,9,6,H.3
583,9,7,H.3
585,9,9,H.2
587,9,11,H.2
588,9,12,H.2
589,9,13,H.2
590,9,14,H.2
591,9,15,H.2
593,9,17,H.5
594,9,18,H.1
595,9,19,H.4
598,9,22,H.1
599,9,23,H.1
600,9,24,H.1
601,9,25,H.5
602,9,26,H.1
603,9,27,H.1
604,9,28,H.1
605,9,29,H.1
606,9,30,H.1
607,9,31,H.1
608,9,32,H.0
609,9,33,H.5
610,9,34,H.4
611,9,35,H.4
612,9,36,H.3
613,9,37,H.3
614,9,38,H.3
615,9,39,H.3
616,9,40,H.0
617,9,41,H.5
